target,Ta_first_order,Ta_total_order,cca_first_order,cca_total_order,totalFruitNumber_first_order,totalFruitNumber_total_order,incomingRadiation_first_order,incomingRadiation_total_order,leafArea_first_order,leafArea_total_order
biomassPlant,0.874746351713855,0.9384582276551882,0.03205275300636599,0.0413707875792262,2.1365673074868572e-05,0.008454608859654687,0.027628728979882188,0.03856471643772874,0.0017051535177423475,0.03699903469235514
biomassFruit,0.2806757867909619,0.9733118230494119,0.001401705404149567,0.24257864815682725,0.006057942286414319,0.1653138983740807,0.005492309006968913,0.13008548028290656,0.008909440353326196,0.1863172791007363
biomassInternode,0.8333464112296329,0.9253492211139245,0.03975815666892113,0.043911160516568536,1.7401521264991673e-05,0.019326906620178826,0.03241140755336,0.0392756927865781,0.002377221157752278,0.06422779910578712
internodeNSC,0.8238487035014359,0.9220098840279494,0.04212482079309211,0.04648520639585212,1.2409026686283201e-05,0.013967788577110188,0.03351996309961493,0.04183136889832464,0.002239425671738583,0.07396164010349303
fraction_fruitUnloading,0.8776219449730285,0.9316889999936547,0.03945717726706142,0.039552095708233696,0.0002029155136539366,0.006198600643665351,0.025520731067861763,0.025523928028394906,0.0024304084768991,0.05180635289712813
fraction_structuralRootUnloading,0.5686899239584082,0.9183766483094288,0.004770200015226207,0.00887077270089512,0.02109662732771233,0.2116156259162845,0.008296089723762931,0.01124275389609284,0.034584038130825626,0.21247575426990037
fraction_internodeUnloading,0.9501083505749958,0.9840422620041352,0.004751366039565631,0.004813079707826527,0.00022046242919306178,0.025544238888350015,0.008363057318253464,0.009445027359594812,0.002212749506265203,0.010502436747451507
phloemSugarConcentration,0.14521132874124304,0.8438337979713351,0.10572479122848429,0.4950199802588592,0.00042778081127715407,0.003505286197799957,0.03531304057343975,0.16536029954299855,0.010033682872819426,0.19565065240285767
harvest_index,0.6680758293571856,0.7855880399272965,0.10843831797160833,0.10930033065002533,0.006088592684031185,0.09034580900472744,0.06622942125374454,0.06718580603674161,0.030023898372483204,0.06872684987835743
meanFruitDW,0.2806757902396225,0.9733118242097928,0.0014017043608478092,0.24257862735921618,0.006057942121547553,0.16531394310642605,0.0054923101027827435,0.1300854666124827,0.008909439487174138,0.1863172652100384
