uuid,biomassPlant,biomassPlant_final,biomassFruit,biomassFruit_final,biomassInternode,biomassInternode_final,internodeNSC,internodeNSC_final,fraction_fruitUnloading,fraction_structuralRootUnloading,fraction_internodeUnloading,phloemSugarConcentration,harvest_index,meanFruitDW,meanFruitSc,Ta,cca,totalFruitNumber,incomingRadiation,leafArea,Tmax,Tmin,ENDING_LEAF_NUMBER,vineType
007caab8-346c-442d-a17d-0ee97cd578f4,67.53964933981223,42091.448408767545,57.3273054957072,10942.193819270231,97.89107876764568,23146.112840844096,5.4518174180940004,525.7273204042708,0.19198472029587543,0.010271330682912458,0.48198390507817757,0.015166984642201703,0.2599654689778861,156.31705374999999,0.12428869741666666,22.517348022727273,900.0,70.0,407.27588383838383,0.10036192065991252,30.0,15.0,6.0,spur
00a70f8c-639a-4808-97c3-c6d89362c973,116.79753866134494,81491.56654123405,62.07327245701254,17495.65033743448,259.11952611817173,46871.362196787544,95.41197742722586,1048.292595600408,0.23808230047122267,0.004807342954861111,0.4906241748994635,0.01778376458943902,0.21469850984060104,159.05136916666666,0.12706665083333332,22.517348022727273,400.0,110.0,271.51725589225595,0.2509799004147781,30.0,15.0,12.0,spur
00d491ae-5d5f-4945-871c-81deec98ff49,71.68208342870041,45804.81189230036,58.234449382248,14061.056866588571,107.04011588838365,24067.581764483595,11.586589925991934,544.974656118564,0.2391509477465278,0.010025963392308502,0.4693353070450336,0.01570170829152301,0.3069811850098509,156.23396791666667,0.12422133683333332,22.517348022727273,400.0,90.0,814.5517676767677,0.10036192065991252,30.0,15.0,6.0,spur
00e434a3-81f0-4b02-9f29-fe20d2880bdf,75.14625612458336,40402.348552715215,59.22637921408311,7909.937347844698,110.35939224398984,24617.129116340348,12.85479356603743,557.6649908047153,0.12208463690940656,0.011072318241256311,0.5131614258901513,0.015413850105567494,0.19578202327311453,158.19874666666666,0.12480245170833333,22.505782674242425,650.0,50.0,678.7931397306396,0.10036192065991252,25.0,20.0,6.0,spur
01550f82-5e19-42f7-b5d2-354aa7f11f4a,98.14351818914592,62734.40873461164,64.65317207460501,14718.510094676707,182.51196687199268,35219.575832077586,52.42189516997491,791.0112523921157,0.1867831250089436,0.006776062083922559,0.48539547411037465,0.018158684060836837,0.23462183794326752,163.53900124999998,0.13285473375,25.011565351010102,900.0,90.0,407.27588383838383,0.16982541343694404,30.0,20.0,9.0,spur
01b1dc4d-85a0-42ba-91e4-d4db91ad411c,71.96372693939031,45755.38908875344,55.897737534936645,13830.609095653579,109.264204970227,24311.078011716072,12.213647015509094,550.2730507795887,0.22803846203798406,0.010213205351988637,0.470337280958649,0.015376076972589072,0.30227626855736056,153.67343333333335,0.11903010441666667,20.0115655155724,400.0,90.0,814.5517676767677,0.10036192065991252,25.0,15.0,6.0,spur
01d66578-bf89-4d7f-83fd-ff57ab9f6a37,124.50984589937582,80300.48089013065,61.14945701882587,14262.919935448272,275.12750658117994,49188.04851053579,105.08257846741986,1098.7599786319415,0.1582220420605745,0.005125513399042509,0.5066721027538931,0.017413554248838534,0.17762499801144505,158.4768875,0.12510026025,22.505782674242425,400.0,90.0,271.51725589225595,0.2509799004147781,25.0,20.0,12.0,spur
0212c8b4-bc7a-4e34-8230-dca356abcb2c,102.55055446971402,59347.81532997164,62.38763570765439,11256.034179180288,189.53965455637692,36011.189940120654,56.836200078006335,809.306711340112,0.14156340558722644,0.007273852532880893,0.5056197742462121,0.01713819619312686,0.18966672296921674,160.80048916666667,0.12740331458333334,22.505782674242425,400.0,70.0,678.7931397306396,0.16982541343694404,25.0,20.0,9.0,spur
02869265-5d5c-457f-9acc-c4fe5ae4d6d5,123.90295046677326,85150.15377108361,68.49283343752496,18294.282330674727,269.0100392374491,48564.662578892545,100.63835430114645,1086.3996483621042,0.24465083279876904,0.0045767302941393095,0.48910196244085646,0.018999778926557173,0.2148531392254237,166.3116575,0.13431949458333334,22.517348022727273,1200.0,110.0,271.51725589225595,0.2509799004147781,30.0,15.0,12.0,spur
02c05ab7-a693-4ef8-b237-6bef7407e2e2,115.47262697296009,79808.38595940359,63.30331252674578,14604.803254250959,253.09667383026616,47021.34991346396,89.59448727956143,1050.7277602149932,0.18992684269057236,0.004762244939993687,0.49962340444065656,0.017725223698972673,0.18300366971588275,162.27559125000002,0.12750068666666667,20.0115655155724,900.0,90.0,678.7931397306396,0.2509799004147781,25.0,15.0,12.0,spur
031238a2-447c-407d-b36d-b8804e051796,42.69763568184503,30362.219086879122,52.91684951030919,10597.824934526208,41.45954924232389,15424.119544190922,-24.215632853513615,354.43508797993127,0.23752870698411194,0.01760425564225589,0.49266555883585855,0.013018631948284988,0.34904747742451686,151.3975,0.11676530433333333,20.0115655155724,1200.0,70.0,407.27588383838383,0.04796556947260091,25.0,15.0,3.0,spur
