timestamp,step,year,dayOfYear,hourOfDay,stage,status,elapsedMs
2026-09-01T04:31:47.728+0000,0,2021,305,0,initialized,ok,12
2026-09-01T04:31:47.915+0000,1,2021,305,0,architecture_complete,ok,199
2026-09-01T04:31:47.915+0000,1,2021,305,0,step_start,started,199
2026-09-01T04:31:47.937+0000,1,2021,305,1,water_start,started,221
2026-09-01T04:31:47.937+0000,1,2021,305,1,water_topology_complete,ok,221
2026-09-01T04:31:47.937+0000,1,2021,305,1,water_flux_fold_complete,ok,221
2026-09-01T04:31:47.938+0000,1,2021,305,1,water_potential_unfold_complete,ok,222
2026-09-01T04:31:47.938+0000,1,2021,305,1,carbon_start,started,222
2026-09-01T04:31:47.941+0000,1,2021,305,1,carbon_topology_complete,ok,225
2026-09-01T04:31:47.943+0000,1,2021,305,1,carbon_iteration_1_complete,ok,227
2026-09-01T04:31:47.962+0000,1,2021,305,1,carbon_solve_complete,accepted,246
2026-09-01T04:31:47.977+0000,1,2021,305,1,carbon_complete,ok,261
2026-09-01T04:31:48.017+0000,1,2021,305,1,output_complete,ok,301
2026-09-01T04:31:48.019+0000,1,2021,305,1,step_complete,ok,303
2026-09-01T04:31:48.019+0000,2,2021,305,1,step_start,started,303
2026-09-01T04:31:48.024+0000,2,2021,305,2,water_start,started,308
2026-09-01T04:31:48.024+0000,2,2021,305,2,water_topology_complete,ok,308
2026-09-01T04:31:48.024+0000,2,2021,305,2,water_flux_fold_complete,ok,308
2026-09-01T04:31:48.024+0000,2,2021,305,2,water_potential_unfold_complete,ok,308
2026-09-01T04:31:48.025+0000,2,2021,305,2,carbon_start,started,309
2026-09-01T04:31:48.025+0000,2,2021,305,2,carbon_topology_complete,ok,309
2026-09-01T04:31:48.026+0000,2,2021,305,2,carbon_iteration_1_complete,ok,310
2026-09-01T04:31:48.029+0000,2,2021,305,2,carbon_solve_complete,accepted,313
2026-09-01T04:31:48.037+0000,2,2021,305,2,carbon_complete,ok,321
2026-09-01T04:31:48.043+0000,2,2021,305,2,output_complete,ok,327
2026-09-01T04:31:48.044+0000,2,2021,305,2,step_complete,ok,328
2026-09-01T04:31:48.044+0000,3,2021,305,2,step_start,started,328
2026-09-01T04:31:48.046+0000,3,2021,305,3,water_start,started,330
2026-09-01T04:31:48.047+0000,3,2021,305,3,water_topology_complete,ok,331
2026-09-01T04:31:48.047+0000,3,2021,305,3,water_flux_fold_complete,ok,331
2026-09-01T04:31:48.047+0000,3,2021,305,3,water_potential_unfold_complete,ok,331
2026-09-01T04:31:48.047+0000,3,2021,305,3,carbon_start,started,331
2026-09-01T04:31:48.047+0000,3,2021,305,3,carbon_topology_complete,ok,331
2026-09-01T04:31:48.048+0000,3,2021,305,3,carbon_iteration_1_complete,ok,332
2026-09-01T04:31:48.050+0000,3,2021,305,3,carbon_solve_complete,accepted,334
2026-09-01T04:31:48.055+0000,3,2021,305,3,carbon_complete,ok,339
2026-09-01T04:31:48.061+0000,3,2021,305,3,output_complete,ok,345
2026-09-01T04:31:48.062+0000,3,2021,305,3,step_complete,ok,346
2026-09-01T04:31:48.062+0000,4,2021,305,3,step_start,started,346
2026-09-01T04:31:48.064+0000,4,2021,305,4,water_start,started,348
2026-09-01T04:31:48.064+0000,4,2021,305,4,water_topology_complete,ok,348
2026-09-01T04:31:48.064+0000,4,2021,305,4,water_flux_fold_complete,ok,348
2026-09-01T04:31:48.064+0000,4,2021,305,4,water_potential_unfold_complete,ok,348
2026-09-01T04:31:48.064+0000,4,2021,305,4,carbon_start,started,348
2026-09-01T04:31:48.064+0000,4,2021,305,4,carbon_topology_complete,ok,348
