ageD,ageHour,ageMin,pip,piv,pp,pv,sfstone,af,ctcs,pif,tf,cv,ua,ux1,up1,khx,khp,ux,up,masfls,pasfls,rM,rG,w,s,pf1,pf2,pf,v,mSuc,mSor,mGlu,mFru,mSta,mSyn,"fruitIncidentPAR_umol_m2_s",fruitAbsorbedPAR_umol_s,"fruitAbsorbedRadiation_modelRad_s","fruitAbsorbedRadiation_m2_modelRad_m2_s",fruitLightArea_m2,fruitBerryCountEffective,fruitZ_m,fruitHeightBand4
34.083333333333336,818,49080,21.71721904423769,21.71721904423769,20.66234575300686,20.66234575300686,0.0,21.122223819808237,2.4134887376770788E-4,11.40368812766915,0.012283636551898338,0.08661419734954834,0.0023742937675752685,0.0,0.0,0.005114515194410423,0.0016040637819172,0.03360699866381051,0.01219450849657687,1.0562175655032527E-4,1.3995090232148443E-6,2.4657640591298825E-5,3.5695021943143307E-4,6.836633938944326,0.8402038052826514,3.7779088196688138,8.98945153414464,3.7779088196688138,7.361761317245983,0.008942322899950351,0.04345077246634729,0.020799092711319314,0.05001684974269341,0.018995458497368976,0.23577168600853876,0.0,0.0,0.0,0.0,0.0021052093040305267,1,0.28319814047748754,1
34.125,819,49140,21.648830897238994,21.648830897238994,20.58076152238902,20.58076152238902,0.0,21.188976026453968,2.414118168426423E-4,11.401161421718571,0.011344038996975689,0.0860320869281888,0.0023716342106927493,0.0,0.0,0.0051284832090373045,0.0016091330775537258,0.033408555210164594,0.012131386172052585,1.0436884697134553E-4,1.3907282678457586E-6,2.4449711012890484E-5,3.564106775523406E-4,6.870720264142793,0.8423019315256142,3.8187770245842825,9.115782000262897,3.8187770245842825,7.397158971346302,0.009028267028094531,0.043769541686863006,0.021156212309182312,0.04992099295379095,0.019203108022726713,0.23578137147384792,0.0,0.0,0.0,0.0,0.0021122223819808237,1,0.28319814047748754,1
34.166666666666664,820,49200,21.399584683329916,21.399584683329916,20.33327255113145,20.33327255113145,0.0,21.255640820818915,2.414456357458664E-4,11.411996981207025,0.012552483272270017,0.08354121767878532,0.0023429567911106733,0.0,0.0,0.005142410645459995,0.0016141957349274007,0.03386976157603521,0.012243864420744974,1.0228673428029904E-4,1.3421838878361184E-6,2.5191195985530142E-5,3.518265532135532E-4,6.904830014932624,0.8443850741455423,3.7593260552126364,8.944973922920122,3.7593260552126364,7.432570686273587,0.009109555197750157,0.04406823501474289,0.021501218666105472,0.04984591946320555,0.019420111173537955,0.23579145700215318,0.0,0.0,0.0,0.0,0.002118897602645397,1,0.28319814047748754,1
34.208333333333336,821,49260,22.364816764081965,22.364816764081965,21.29926618108773,21.29926618108773,0.0,21.32618729274456,2.4151484274674592E-4,11.34937970787523,0.005458253209228374,0.09365516949892044,0.0024789602933566897,0.0,0.0,0.005157257304458404,0.0016195531746327715,0.03187330357508844,0.011793303651939962,1.1045038524746743E-4,1.5569233187072172E-6,2.1191917665976808E-5,3.7338621053305206E-4,6.941056924129127,0.8465191118353054,4.103547301917799,9.970989594864408,4.103547301917799,7.470131369026192,0.009210067646610679,0.04447201219458264,0.021857197665509434,0.049699685319831564,0.019596447531900672,0.23579951602645047,0.0,0.0,0.0,0.0,0.0021255640820818916,1,0.28319814047748754,1
34.25,822,49320,22.373806493620364,22.373806493620364,21.08903430106988,21.08903430106988,0.0,21.400974544948166,2.4163240835010677E-4,11.344094016804256,0.0038962177945267157,0.093873978792876,0.0024871463706932725,0.0,0.0,0.005173108712340125,0.0016252326676460217,0.030808107377575965,0.011471550748046167,1.0768801116434865E-4,1.5643260320030855E-6,2.078619826737779E-5,3.7423429626989906E-4,6.979592985962072,0.8487179943813595,4.103887850077827,9.978941211935764,4.103887850077827,7.510041732450422,0.009334838004969629,0.04499840658142886,0.02222238251284436,0.04947414889602527,0.019725610706641153,0.235805269234865,8.15054419700988,0.017382003208322505,0.04398020118631623,20.622627281004352,0.002132618729274456,1,0.28319814047748754,1
34.291666666666664,823,49380,21.712199346912264,21.712199346912264,19.727378393459936,19.727378393459936,0.0,21.4709941423763,2.4173490510981128E-4,11.410801239077262,0.007644753544804927,0.08659749263226985,0.0023997648229677963,0.0,0.0,0.005187786869505214,0.0016305500954517797,0.029729117420501137,0.011023720539156007,9.54626558169764E-5,1.4140073235771154E-6,2.4834330918857237E-5,3.5915146699334513E-4,7.015636829946318,0.850875580735185,3.695382986947445,8.772037938505528,3.695382986947445,7.547434067905808,0.009438360859175786,0.04542718023114591,0.0225641223614394,0.04933010453974499,0.019896286733691038,0.2358129450665377,63.469486329379315,0.13583088613159824,0.3401094611840049,158.9224175140612,0.002140097454494817,1,0.28319814047748754,1
34.333333333333336,824,49440,21.242869299558386,21.242869299558386,18.600346850534702,18.600346850534702,0.0,21.528628416532694,2.4175141602746553E-4,11.483548470299873,0.016024480706486162,0.08115743334442377,0.0023297405846042576,0.0,0.0,0.005199453439261524,0.0016349269571193786,0.02995708804344449,0.011015346762034844,8.939772706055568E-5,1.3030994062636572E-6,3.0325533766958894E-5,3.4728179413820524E-4,7.045048831757379,0.8529536730391875,3.0794419637604658,6.945106003432333,3.0794419637604658,7.578144877406871,0.00949258868675862,0.04555138450935957,0.02281858958302074,0.049444437849408066,0.020209413179295303,0.23582746284387757,97.49875482170116,0.20933951936657283,0.5255635325017652,244.77838753841633,0.00214709941423763,1,0.28319814047748754,1
34.375,825,49500,21.287968236711265,21.287968236711265,18.36629437535513,18.36629437535513,0.0,21.574740771095136,2.4161136125679897E-4,11.518364237716966,0.020592854866414306,0.08104096360802651,0.0023327874605524775,0.0,0.0,0.005208320698592516,0.0016384288212452178,0.030325997013636537,0.011140604826736586,9.02845350334964E-5,1.3064019085435237E-6,3.373465047301059E-5,3.473584931569711E-4,7.068230333258386,0.8549967309923734,2.77408482485711,6.038775714831278,2.77408482485711,7.602603290128619,0.00950726303501895,0.04532429468802433,0.02293924011774968,0.0498761168928808,0.020706023302238606,0.23585106601409878,134.72139805809493,0.2900366918548515,0.7364526280301738,342.0806071717148,0.0021528628416532694,1,0.28319814047748754,1
34.416666666666664,826,49560,21.31792880374765,21.31792880374765,18.389116998065845,18.389116998065845,0.0,21.617479960329312,2.413404523102418E-4,11.519866354077362,0.01987776982041347,0.08120511194318533,0.002339848379739214,0.0,0.0,0.005216358555466682,0.001641674520471961,0.03016212263532483,0.011101043004647766,9.014614398785362E-5,1.3167959852318473E-6,3.456495683708894E-5,3.4824519802460324E-4,7.089587411780869,0.8570426274554559,2.8088364906059335,6.143287293005411,2.8088364906059335,7.625239053940529,0.00950719285813502,0.044919019048126084,0.02298552318906315,0.05046900721336426,0.021304722691017835,0.23587986146126252,138.94222455937668,0.299764247702784,0.7375381623114932,341.8526183636067,0.0021574740771095136,1,0.28319814047748754,1
34.458333333333336,827,49620,21.35771242059318,21.35771242059318,18.583369805303718,18.583369805303718,0.0,21.662605871790127,2.4089133038182636E-4,11.529063593132442,0.01784676589450881,0.08129121668636799,0.0023458055333093765,0.0,0.0,0.005224957302426039,0.0016451014721422874,0.030252807090517395,0.011142145802441506,9.057585887773778E-5,1.3267093645667085E-6,3.659977315245305E-5,3.4887898788706735E-4,7.11227154619536,0.8590930146043644,2.9646627363200317,6.608276439061356,2.9646627363200317,7.649204680323088,0.009498759248828228,0.04439568233977345,0.022983531175863284,0.05116353353077868,0.021974657193927535,0.23591237596148817,101.454044638501,0.2193180776867151,0.5296273957207493,244.99960064386764,0.0021617479960329314,1,0.28319814047748754,1
