timestamp,year,dayOfYear,hourOfDay,scenario,fruitAge_h,totalFruitNumber,meanFruitFW,meanFruitFW_sd,meanFruitDW,meanFruitDW_sd,meanFruitSc,meanFruitSc_sd,diameter,vol,Afruit,unloadingPerFruit,sugarUptake_active,sugarUptake_passive,sugarUptake_massflow,maintenanceDM,growthCost,waterUptake,waterUptake_xylem,waterUptake_phloem,transpirationLost,"osmoticWaterPotential_fruit",turgorPressure_fruit,waterPotential_fruit,"osmoticWaterPotential_phloem",meanCpm,turgorPressure_phloem,waterPotential_phloem,Lphloem,Lxylem,"osmoticWaterPotential_partialContribution",cellWallExtensibility,elasticModulus,ro,malicAcid,tartaricAcid,malicConcentration_fruit,"tartaricConcentration_fruit",fruitIncidentPAR,fruitAbsorbedPAR,fruitAbsorbedRadiation,"fruitAbsorbedRadiation_m2",fruitLightArea_m2,fruitBerryCountEffective,totalFruitNumber_1,totalFruitNumber_2,totalFruitNumber_3,totalFruitNumber_4,meanFruitFW_1,meanFruitFW_2,meanFruitFW_3,meanFruitFW_4,meanFruitDW_1,meanFruitDW_2,meanFruitDW_3,meanFruitDW_4,meanFruitSc_1,meanFruitSc_2,meanFruitSc_3,meanFruitSc_4,simuuid,fruitIncidentPAR_mean_1,fruitIncidentPAR_mean_2,fruitIncidentPAR_mean_3,fruitIncidentPAR_mean_4,fruitAbsorbedPAR_sum_1,fruitAbsorbedPAR_sum_2,fruitAbsorbedPAR_sum_3,fruitAbsorbedPAR_sum_4,"fruitAbsorbedRadiation_sum_1","fruitAbsorbedRadiation_sum_2","fruitAbsorbedRadiation_sum_3","fruitAbsorbedRadiation_sum_4",fruitCount_1,fruitCount_2,fruitCount_3,fruitCount_4,fruitLightArea_sum_1,fruitLightArea_sum_2,fruitLightArea_sum_3,fruitLightArea_sum_4,mSuc,mSor,mGlu,mFru,mSta,mSyn
2021-11-01T01:30:00,2021,305,1,0,817.0,3,7638.8906,0.009302217,838.09094,0.0134268,0.04508809,2.0952411E-6,1.169762,7.324607,21.052109,1.029512774136349,2.4382565,0.0015084673295496333,0.12295531036685754,2.473081896886984E-5,3.6876772441077555E-4,0.050403491939605534,0.03704750685694444,0.013355985082661092,0.012735947429496727,11.405478570740433,4.1085413064001575,-7.296937264340276,22.299964322725927,0.41453505,22.267652516446333,-0.03231180627959418,0.0015987391321978473,0.005099713273382405,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,0,0,7638.882,7638.895,0.0,0.0,838.0792,838.09686,0.0,0.0,0.04508626,0.045089006,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0.0,0.0,0.0,0.0,0.008854936991612201,0.04313453006611583,0.020435026298647654,0.05011413412240882,0.01878620392306982,0.23576186002492502
2021-11-01T02:30:00,2021,305,2,0,818.0,3,7676.8604,0.02438412,840.23505,0.035831533,0.045101557,5.565909E-6,1.1707586,7.3617725,21.122267,1.0057248707363409,2.3943636,0.0014314628672030298,0.10766890863010334,2.4658557834918676E-5,3.6016833096529495E-4,0.04579416758577247,0.03358140311188349,0.01221276447388898,0.012283661037258498,11.40423734827617,3.778389911553171,-7.625847436722999,21.881602828184395,0.3969781,20.821643836361492,-1.0599589918229029,0.0016040669793481281,0.005114525389334869,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021052109124618363,1.0,1,2,0,0,7676.8374,7676.8716,0.0,0.0,840.20374,840.2507,0.0,0.0,0.045096714,0.04510398,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0.0021052093040305267,0.004210423433354982,0.0,0.0,0.008946085960284107,0.04346221520927554,0.020799108763221625,0.05001478607657558,0.018995458608240548,0.2357716860127935
2021-11-01T03:30:00,2021,305,3,0,819.0,3,7713.0576,0.03870254,842.35156,0.057162996,0.045122802,8.837892E-6,1.1717409,7.3971763,21.189043,1.0036628156114193,2.3906317,0.0014206006755619117,0.10627091456080448,2.4451152663577225E-5,3.594515095550587E-4,0.04553313760127316,0.03338468358110763,0.012148454020165523,0.011344074524593647,11.402031331635625,3.8192363238198723,-7.582795007815752,21.80228358380084,0.3938989,20.729128508358794,-1.0731550754420454,0.0016091381170872845,0.005128499270582243,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002112226592340316,1.0,1,2,0,0,7713.022,7713.0757,0.0,0.0,842.3019,842.3764,0.0,0.0,0.04511514,0.045126636,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0.0021122223819808237,0.004224457395040126,0.0,0.0,0.009034165821622262,0.043787628823590156,0.021156254019686654,0.04991787399066472,0.019203108469682796,0.2357813714909358
2021-11-01T04:30:00,2021,305,4,0,820.0,3,7749.264,0.053150516,844.4526,0.07788599,0.04513779,1.1981163E-5,1.1727144,7.432595,21.255732,0.9912715400646895,2.3619409,0.0013710253648495504,0.10413478561827745,2.5193210496449255E-5,3.548573642646466E-4,0.0461076982797243,0.03384717054388974,0.012260527735834558,0.012552536825969234,11.413178255167962,3.759842775621406,-7.653335479546556,21.547882845793406,0.38245326,20.47648501300287,-1.071397832790538,0.0016142026217043828,0.005142432584952523,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002118904238675521,1.0,1,2,0,0,7749.215,7749.2886,0.0,0.0,844.385,844.4863,0.0,0.0,0.045127425,0.04514297,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0.002118897602645397,0.004237815113381166,0.0,0.0,0.009117464621955467,0.04409268796355941,0.02150129879605007,0.049841903539063544,0.019420112364378597,0.2357914570476312
2021-11-01T05:30:00,2021,305,5,0,821.0,3,7787.6343,0.06326804,846.6013,0.09508357,0.045161538,1.45630365E-5,1.1737082,7.470159,21.326296,1.0464241518012,2.4915211,0.001578046640684109,0.11176258697748309,2.1193977375309983E-5,3.7540475452364276E-4,0.043658834925663074,0.03185429449764698,0.011804540428016097,0.005458280815133272,11.35079963482652,4.10359863986812,-7.2472009949584,22.47242083145356,0.4263278,21.401784547867255,-1.0706362835863068,0.0016195613657571481,0.005157283388032989,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002125573150552014,1.0,1,2,0,0,7787.5757,7787.6636,0.0,0.0,846.51904,846.64246,0.0,0.0,0.04514896,0.045167826,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0,0.0021255640820818916,0.00425115536957415,0.0,0.0,0.009219570155218529,0.04450167604603819,0.021857324433257098,0.04969502805119381,0.01959644972799269,0.23579951610952335
2021-11-01T06:30:00,2021,305,6,0,822.0,3,7828.3735,0.0673051,848.81134,0.10813972,0.04519708,1.650424E-5,1.1747285,7.5100694,21.401089,1.0478891100329384,2.4981337,0.001582663650619473,0.10879478802811875,2.0788485459876672E-5,3.759938870439645E-4,0.0422710770811352,0.0307902268583725,0.0114808502227627,0.003896238752563043,11.345701140197997,4.103796572507486,-7.241904567690511,22.467137084199845,0.42670858,21.1771780548274,-1.2899590293724437,0.0016252414098896757,0.005173136538864728,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,8.114969567204435,0.01730621973426701,0.045056377161476834,21.127148981237298,0.0021326295153020675,1.0,1,2,0,0,7828.3105,7828.405,0.0,0.0,848.71796,848.85803,0.0,0.0,0.04518286,0.045204192,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",8.15054419700988,8.097182252301714,0.0,0.0,0.017382003208322505,0.03453665599447853,0.0,0.0,0.04398020118631623,0.09118893029811427,0.0,0.0,1,2,0,0,0.002132618729274456,0.004265269816631746,0.0,0.0,0.009345473399790916,0.04503196930990041,0.022222558911142377,0.049469087320882225,0.01972561398467437,0.23580526935730284
2021-11-01T07:30:00,2021,305,7,0,823.0,3,7866.5796,0.07206449,850.9831,0.12468435,0.04522712,1.8969582E-5,1.1757295,7.547461,21.471117,1.0115305639820766,2.4192545,0.001444559930963851,0.09722135396796605,2.4837470362340893E-5,3.622428442188274E-4,0.04073984396442528,0.02970011309738395,0.011039730867041332,0.007644797571855231,11.412671138802104,3.695387387867484,-7.7172837509346195,21.868106890999385,0.39654654,19.875796609465556,-1.992310281533829,0.0016305594859848628,0.0051878167465904765,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,65.87773972881767,0.140985540142998,0.36287173599599387,169.5575777622854,0.002140108966233267,1.0,1,2,0,0,7866.512,7866.6133,0.0,0.0,850.87555,851.03687,0.0,0.0,0.04521079,0.045235284,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",63.469486329379315,67.08186642853686,0.0,0.0,0.13583088613159824,0.28712573429739574,0.0,0.0,0.3401094611840049,0.7485057468039766,0.0,0.0,1,2,0,0,0.002140097454494817,0.0042802294442049835,0.0,0.0,0.009450459249528198,0.04546568184211664,0.022564360673335174,0.04932454519791337,0.019896291941640557,0.23581294526044827
2021-11-01T08:30:00,2021,305,8,0,824.0,3,7898.075,0.07767788,853.08136,0.14800046,0.045235258,2.247423E-5,1.1766951,7.5781703,21.528763,0.9828197874158935,2.353647,0.0013383191802881498,0.09140258773183434,3.0330074048141838E-5,3.5105114290882736E-4,0.040952687822596784,0.02991975342870654,0.011032934393890243,0.0160245804260185,11.485796721788716,3.0791595096293896,-8.406637212159326,21.424434096574867,0.37303993,18.772164681722273,-2.6522694148525936,0.0016349371311870787,0.0051994857951970985,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,103.31674415662341,0.22183261258458456,0.569768940758212,265.3652388702315,0.0021471117796400415,1.0,1,2,0,0,7898.002,7898.112,0.0,0.0,852.9536,853.1452,0.0,0.0,0.04521591,0.045244932,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",97.49875482170116,106.22573882408454,0.0,0.0,0.20933951936657283,0.4561583183871809,0.0,0.0,0.5255635325017652,1.1837432897728708,0.0,0.0,1,2,0,0,0.00214709941423763,0.004294235924682494,0.0,0.0,0.009506780933876455,0.045596723213605396,0.02281891746047802,0.04943833151098057,0.020209423107439575,0.23582746321998418
2021-11-01T09:30:00,2021,305,9,0,825.0,3,7923.302,0.078826666,855.14667,0.17371517,0.045209624,2.6370299E-5,1.1776439,7.602622,21.574879,0.984507255736666,2.3569381,0.001341781835216597,0.09230946820845136,3.374056834309538E-5,3.5116607973873453E-4,0.041441405291130454,0.030284276676038297,0.011157128615092153,0.020592986042835548,11.521027709521727,2.7734124609759223,-8.747615248545804,21.47152206828633,0.37254828,18.538465050044334,-2.933057018241996,0.0016384392580316967,0.005208353875579114,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,132.63892604389488,0.28555514909344526,0.7406589583149582,344.0323025757634,0.0021528762388097634,1.0,1,2,0,0,7923.2266,7923.3394,0.0,0.0,854.9967,855.2217,0.0,0.0,0.045186903,0.045220982,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",134.72139805809493,131.59769003679483,0.0,0.0,0.2900366918548515,0.5666287554254843,0.0,0.0,0.7364526280301738,1.485524246914701,0.0,0.0,1,2,0,0,0.0021528628416532694,0.00430576587477602,0.0,0.0,0.009523688545402182,0.045376795432436945,0.022939695206673147,0.049869859224352386,0.02070604338092126,0.2358510667941693
2021-11-01T10:30:00,2021,305,10,0,826.0,3,7946.705,0.078289494,857.21497,0.19946589,0.04515799,3.0262347E-5,1.1785926,7.62525,21.617619,0.9872675926188746,2.363955,0.001352013175794237,0.09215966502185091,3.457190822055841E-5,3.5204456287955913E-4,0.041240173978741426,0.030122164409366384,0.011118009569375045,0.01987789680099299,11.522937459796717,2.8083275490095656,-8.714609910787152,21.50088616484098,0.3732522,18.560797286843894,-2.9400888779970877,0.0016416850076032578,0.005216391877928828,0.0,0.0,0.0,180.75500991694557,0.0,0.0,0.0,0.0,135.36225889945936,0.2920423751762828,0.7375652617288085,341.8630060454309,0.002157487820212653,1.0,1,2,0,0,7946.63,7946.743,0.0,0.0,857.0426,857.30115,0.0,0.0,0.045131896,0.045171037,0.0,0.0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",138.94222455937668,133.57227606950073,0.0,0.0,0.299764247702784,0.5763628778260643,0.0,0.0,0.7375381623114932,1.4751576228749326,0.0,0.0,1,2,0,0,0.0021574740771095136,0.004314989383528445,0.0,0.0,0.009525760304277838,0.04497833376934366,0.022986143787371446,0.0504630299942903,0.021304759447364197,0.23587986291311172
