timestamp,Ka,age,ageD,biomass,carbon_nonStructure,carbon_structure,carbon_total,childInternodeIDs,cordonNumber,cpb,cpt,diameter,endX,endY,endZ,"expansionHalfTimePotential","expansionHalfTimeRealized",growthCost,j,"leafAllometryFrozenActualDemand","leafAllometryFrozenActualDemandValid","leafAllometryFrozenPotentialDemand","leafAllometryFrozenPotentialDemandValid",length,loading,maintenanceDM,nodeID,nodeNumber,order,organType,parentID,plantNumber,potentialFinalSize,rank,realizationRatio,realizedFinalSize,reserveDM,simuuid,structureDM,structureDM_PRI,structureDM_SEC,unloading,waterFlux,waterPotential,x,y,z
2021-11-01T12:30:00,314.03025945511627,7.6446058090033056,10.500000014901161,249.16593208312133,10.16414624773378,99.95006500487958,110.11421125261336,,4,7.869065348750373E-4,7.809708346934071E-4,0.0031045196,0.006723426279415179,0.4471600775982243,1.1605981190068386,0.0,0.0,0.27745905970066415,0.0013177263820578584,NaN,false,NaN,false,0.07340699,0.0035170254,0.006656677525981039,30634144,0,4,Shoot,30634141,1,0.0,14,1.0,0.0,2.377660544238101E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1.3872952985033211,1.3872952985033211,0.0,1.394189742083726,0.060380516854488926,-0.31086582045409894,0.0073617503993630914,0.4142600776009088,1.0959981190121098
2021-11-01T12:30:00,348.21717293347444,9.124605809003308,12.500000014901161,209.74023084024768,8.899431106813347,83.79133080364856,92.69076191046192,30634144,4,7.907634409479625E-4,7.869065348750373E-4,0.0030500249,0.0073617503993630914,0.4142600776009088,1.0959981191121098,0.0,0.0,0.1078932470517376,5.141238336393711E-4,NaN,false,NaN,false,0.063912146,0.003059855,0.005676573018040039,30634141,0,4,Shoot,30634138,1,0.0,13,1.0,0.0,1.8876833975080645E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.5394662352586881,0.5394662352586881,0.0,0.5453315766164789,0.09441856482774538,-0.3100510884032393,-0.005550969325681275,0.38926007943041413,1.0390981232760637
2021-11-01T12:30:00,271.1267639425611,12.084605809003307,16.50000001490116,256.14984755380385,11.216016715966228,101.98460501451527,113.2006217304815,30634141,4,7.872589936231971E-4,7.907634409479625E-4,0.0030106977,-0.005550969325681275,0.38926007943041413,1.0390981233760637,0.0,0.0,0.02625685856500363,1.3466503606222074E-4,NaN,false,NaN,false,0.08000111,0.0038403943,0.007002527893499543,30634138,0,4,Shoot,30634135,1,0.0,12,1.0,0.0,2.1830503583644115E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.1312842928250182,0.0,0.1312842928250182,0.13850512575435417,0.158632658288288,-0.3092320482422158,5.15163334754474E-4,0.35156008129215577,0.9687981268476932
2021-11-01T12:30:00,203.12647752772747,13.564605809003307,18.50000001490116,342.0208963312533,14.975981025272871,136.17374043369463,151.1497214589675,30634138,4,7.736929531665044E-4,7.872589936231971E-4,0.003010677,5.15163334754474E-4,0.35156008129215577,0.9687981269476932,0.0,0.0,0.035016791444312155,1.7957818584079605E-4,NaN,false,NaN,false,0.10682209,0.0051471884,0.009350038813489777,30634135,0,4,Shoot,30634132,1,0.0,11,1.0,0.0,2.909775680219427E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.1750839572215608,0.0,0.1750839572215608,0.18472497360307252,0.20510805251939956,-0.30797054609043495,0.006957926624256319,0.311460082415583,0.8699981297156386
2021-11-01T12:30:00,353.9921935729516,15.044605809003308,20.50000001490116,196.35724391823572,8.597757620868041,78.1786441810467,86.77640180191474,30634135,4,7.594889129306587E-4,7.736929531665044E-4,0.0030106187,0.006957926624256319,0.311460082415583,0.8699981298156386,0.0,0.0,0.020008168315893218,1.0257664540004885E-4,NaN,false,NaN,false,0.06133011,0.002998286,0.005367950030017759,30634132,0,4,Shoot,30634129,1,0.0,10,1.0,0.0,1.6590453051590644E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.1000408415794661,0.0,0.1000408415794661,0.10557469613999977,0.2550808580822852,-0.30600997334254865,0.007687722301998849,0.28516008321768616,0.8145981315052399
2021-11-01T12:30:00,929.0206823166732,18.00460580900331,24.50000001490116,74.84200704795303,3.2770274209222885,29.797994134988645,33.075021555910936,30634132,4,7.514227317961598E-4,7.594889129306587E-4,0.0030105626,0.007687722301998849,0.28516008321768616,0.8145981316052399,0.0,0.0,0.0075874593376721615,3.8885968258064524E-5,NaN,false,NaN,false,0.02337706,0.0011601974,0.0020460114690984917,30634129,0,4,Shoot,30634126,1,0.0,9,1.0,0.0,6.277047396917929E-5,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.037937296688360815,0.0,0.037937296688360815,0.040046078631428485,0.31028492159870263,-0.30475609353640576,5.046171449617394E-4,0.2818600832971473,0.7925981321349806
2021-11-01T12:30:00,223.74284331344813,19.484605809003305,26.50000001490116,310.79549915638523,13.608415871676568,123.74182685352426,137.35024272520081,30634129,4,7.103286779412522E-4,7.514227317961598E-4,0.0030105321,5.046171449617394E-4,0.2818600832971473,0.7925981322349807,0.0,0.0,0.03141578268754918,1.6097609879784608E-4,NaN,false,NaN,false,0.09707977,0.004859211,0.008496460264503458,30634126,0,4,Shoot,30634123,1,0.0,8,1.0,0.0,2.5955928777795134E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.15707891343774594,0.0,0.15707891343774594,0.16583493299002736,0.34656328130446823,-0.30421027924440364,-0.006900196778504403,0.2579600829954732,0.6987981310510043
2021-11-01T12:30:00,382.2021831608066,20.964605809003306,28.50000001490116,369.20012261827657,16.182782191708974,146.97828865210724,163.16107084381622,30634126,4,6.784637212975082E-4,7.103286779412522E-4,0.0035924609,-0.006900196778504403,0.2579600829954732,0.6987981311510043,0.0,0.0,0.030789036823484106,1.5831149206948657E-4,NaN,false,NaN,false,0.08098469,0.006031773,0.010096826274232073,30634123,0,4,Shoot,30634120,1,0.0,7,1.0,0.0,3.008852870885303E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.15394518411742056,0.0,0.15394518411742056,0.16434289567874116,0.4170677554886073,-0.30175809541911347,-0.007041501477785187,0.25426008301430547,0.6178981315627702
2021-11-01T12:30:00,477.525297809013,23.924605809003307,32.50000001490116,611.8621001802093,26.842948481913506,243.55803287791042,270.4009813598239,30634123,4,6.447789573416007E-4,6.784637212975082E-4,0.0043087513,-0.007041501477785187,0.25426008301430547,0.6178981316627702,0.0,0.0,0.041997609532850436,2.1687905843439687E-4,NaN,false,NaN,false,0.093295954,0.010336471,0.016738265981586335,30634120,0,4,Shoot,30634117,1,0.0,6,1.0,0.0,4.887205805211221E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.20998804766425222,0.0,0.20998804766425222,0.2272150342263597,0.5131304175961299,-0.2998882594393919,-0.006536366330612354,0.22006008320571788,0.5310981321485769
2021-11-01T12:30:00,794.1044707608793,25.404605809003307,34.50000001490116,681.049971153328,29.896417193719486,271.080846311735,300.9772635054545,30634120,4,6.179987185286021E-4,6.447789573416007E-4,0.005025031,-0.006536366330612354,0.22006008320571788,0.5310981322485769,0.0,0.0,0.03950701234360719,2.047953432215861E-4,NaN,false,NaN,false,0.0763494,0.011907494,0.018634993495537364,30634117,0,4,Shoot,30634114,1,0.0,5,1.0,0.0,5.322984249497416E-4,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",0.197535061718036,0.0,0.197535061718036,0.21670235363852308,0.6053975803985212,-0.29797852570892536,0.004858862076935624,0.18876008417382023,0.4623981343734535
