age_d,age_h,T,H_a,psi_x,Cpm,rho
6 ,21,24.6,55.9,-3.943313953,0.053169734,330.3609214
6 ,22,22.3,58.3,-3.943313953,0.053169734,330.0997036
6 ,23,22.6,52.4,-3.943313953,0.053169734,329.8384859
6 ,24,21.1,61.2,-3.943313953,0.053169734,329.5772681
7 ,1,20.2,62.8,-3.943313953,0.053169734,329.3160503
7 ,2,19.7,65.9,-3.943313953,0.053169734,329.0548326
7 ,3,18.3,72.7,-3.943313953,0.053169734,328.7936148
7 ,4,16.8,80.9,-3.943313953,0.053169734,328.532397
7 ,5,16.6,81.9,-3.943313953,0.053169734,328.2711792
7 ,6,17.9,78.8,-3.943313953,0.053169734,328.0099615
7 ,7,18.3,82.5,-3.943313953,0.053169734,327.7487437
7 ,8,19.8,84.1,-3.943313953,0.053169734,327.4875259
7 ,9,23.6,71.5,-6.02921,0.177021793,327.2263082
7 ,10,24.9,67.2,-7.972955678,0.292433538,326.9650904
7 ,11,26,64.8,-9.642087932,0.39153985,326.7038726
7 ,12,26.3,64.9,-10.92285816,0.467586799,326.4426548
7 ,13,30.1,39.9,-11.72798398,0.515391909,326.1814371
7 ,14,30.3,37.5,-12.0025974,0.531697342,325.9202193
7 ,15,29.3,45.1,-11.72798398,0.515391909,325.6590015
7 ,16,28.4,43.5,-10.92285816,0.467586799,325.3977837
7 ,17,28.1,39.1,-9.642087932,0.39153985,325.136566
7 ,18,22.6,59.4,-7.972955678,0.292433538,324.8753482
7 ,19,18.5,84.4,-6.02921,0.177021793,324.6141304
7 ,20,20.1,77.7,-3.943313953,0.053169734,324.3529127
7 ,21,18.7,74.3,-3.943313953,0.053169734,324.0916949
7 ,22,17.7,65.8,-3.943313953,0.053169734,323.8304771
7 ,23,17.1,64.1,-3.943313953,0.053169734,323.5692593
7 ,24,15.3,72.3,-3.943313953,0.053169734,323.3080416
8 ,1,14.1,78.7,-3.943313953,0.053169734,323.0468238
8 ,2,13.6,81.6,-3.943313953,0.053169734,322.785606
8 ,3,12.8,84.4,-3.943313953,0.053169734,322.5243883
8 ,4,11.8,91.8,-3.943313953,0.053169734,322.2631705
8 ,5,11.7,93.3,-3.943313953,0.053169734,322.0019527
8 ,6,11.5,94.4,-3.943313953,0.053169734,321.7407349
8 ,7,14.9,81.1,-3.943313953,0.053169734,321.4795172
8 ,8,19.6,59.4,-3.943313953,0.053169734,321.2182994
8 ,9,20.5,53,-6.02921,0.177021793,320.9570816
8 ,10,21.7,48.4,-7.972955678,0.292433538,320.6958638
8 ,11,22.8,43.5,-9.642087932,0.39153985,320.4346461
8 ,12,23.9,42.3,-10.92285816,0.467586799,320.1734283
8 ,13,24.6,40.6,-11.72798398,0.515391909,319.9122105
8 ,14,25.6,38.7,-12.0025974,0.531697342,319.6509928
8 ,15,25.5,37.7,-11.72798398,0.515391909,319.389775
8 ,16,25.6,37.5,-10.92285816,0.467586799,319.1285572
8 ,17,24.9,40.3,-9.642087932,0.39153985,318.8673394
8 ,18,22.9,46.9,-7.972955678,0.292433538,318.6061217
8 ,19,22.4,44.9,-6.02921,0.177021793,318.3449039
8 ,20,21,47.8,-3.943313953,0.053169734,318.0836861
8 ,21,19.5,49.3,-3.943313953,0.053169734,317.8224684
8 ,22,18.9,48,-3.943313953,0.053169734,317.5612506
8 ,23,18.4,46.9,-3.943313953,0.053169734,317.3000328
8 ,24,17.4,52.8,-3.943313953,0.053169734,317.038815
9 ,1,17.9,53.6,-3.943313953,0.053169734,316.7775973
9 ,2,18.9,46.5,-3.943313953,0.053169734,316.5163795
9 ,3,18.1,49,-3.943313953,0.053169734,316.2551617
9 ,4,18,47.5,-3.943313953,0.053169734,315.993944
9 ,5,18.2,43.6,-3.943313953,0.053169734,315.7327262
9 ,6,18.4,37.3,-3.943313953,0.053169734,315.4715084
9 ,7,18.4,42.8,-3.943313953,0.053169734,315.2102906
9 ,8,19.4,44.4,-3.943313953,0.053169734,314.9490729
9 ,9,21.4,39.8,-6.02921,0.177021793,314.6878551
9 ,10,22.6,35.7,-7.972955678,0.292433538,314.4266373
9 ,11,23.7,36.1,-9.642087932,0.39153985,314.1654195
9 ,12,24.3,35.2,-10.92285816,0.467586799,313.9042018
9 ,13,25.3,36.5,-11.72798398,0.515391909,313.642984
9 ,14,24.9,38.6,-12.0025974,0.531697342,313.3817662
9 ,15,25,39.5,-11.72798398,0.515391909,313.1205485
9 ,16,24,43.7,-10.92285816,0.467586799,312.8593307
9 ,17,24,39,-9.642087932,0.39153985,312.5981129
9 ,18,23.6,34.9,-7.972955678,0.292433538,312.3368951
9 ,19,22.8,35.9,-6.02921,0.177021793,312.0756774
9 ,20,21.1,38.1,-3.943313953,0.053169734,311.8144596
9 ,21,19.2,40.2,-3.943313953,0.053169734,311.5532418
9 ,22,18.2,42.5,-3.943313953,0.053169734,311.2920241
9 ,23,16.6,49.4,-3.943313953,0.053169734,311.0308063
9 ,24,14.6,58.9,-3.943313953,0.053169734,310.7695885
10 ,1,11.7,76.9,-3.943313953,0.053169734,310.5083707
10 ,2,12.9,70.9,-3.943313953,0.053169734,310.247153
10 ,3,13.6,69.2,-3.943313953,0.053169734,309.9859352
10 ,4,13.4,72.4,-3.943313953,0.053169734,309.7247174
10 ,5,12.1,80,-3.943313953,0.053169734,309.4634997
10 ,6,11.2,85.3,-3.943313953,0.053169734,309.2022819
10 ,7,13.1,81,-3.943313953,0.053169734,308.9410641
10 ,8,15.4,74.8,-3.943313953,0.053169734,308.6798463
