,hourOfDay,rowOrientation,rowDistance,azimuth,solarElevation,leafAreaPerPlant,fDiffuseLight,incomingRadiation,fabsPAR,fPAR_1
hourOfDay,1.0,-1.5443562340570679e-15,1.937426187602028e-15,0.7726360031947548,0.1995252487616399,-6.694840427638802e-16,0.00851643888481022,0.009291145343507026,-0.042957563370474974,-0.1420357289613863
rowOrientation,-1.5443562340570679e-15,1.0,-0.044521953518993365,0.0002014651697440356,-0.06233078798035441,0.023649349912183794,-0.025109642352870633,0.0011020702998424795,0.07537565532516825,-0.10774981057377304
rowDistance,1.937426187602028e-15,-0.044521953518993365,1.0,4.641817214713676e-05,0.0009828249832516088,-0.025496846173646243,0.00048072451482613547,1.4521856662215271e-05,-0.7344385043267778,0.42018267014619426
azimuth,0.7726360031947548,0.0002014651697440356,4.641817214713676e-05,1.0,0.1944033590809786,-0.0006184146670363563,-0.010225329358483588,0.029531535339962507,-0.04224776259964762,-0.13906478941328923
solarElevation,0.1995252487616399,-0.06233078798035441,0.0009828249832516088,0.1944033590809786,1.0,-0.017928903247007664,0.015974750691812076,0.34232264520177874,-0.33217242868288127,-0.2288328262200415
leafAreaPerPlant,-6.694840427638802e-16,0.023649349912183794,-0.025496846173646243,-0.0006184146670363563,-0.017928903247007664,1.0,-0.011037450143673525,0.001991329986683338,0.4106927045724991,-0.5735611451855094
fDiffuseLight,0.00851643888481022,-0.025109642352870633,0.00048072451482613547,-0.010225329358483588,0.015974750691812076,-0.011037450143673525,1.0,-0.8454828323909032,-0.09256207815057928,-0.0954919847283009
incomingRadiation,0.009291145343507026,0.0011020702998424795,1.4521856662215271e-05,0.029531535339962507,0.34232264520177874,0.001991329986683338,-0.8454828323909032,1.0,-0.06204756816285903,-0.000549485287085357
fabsPAR,-0.042957563370474974,0.07537565532516825,-0.7344385043267778,-0.04224776259964762,-0.33217242868288127,0.4106927045724991,-0.09256207815057928,-0.06204756816285903,1.0,-0.31360432912335034
fPAR_1,-0.1420357289613863,-0.10774981057377304,0.42018267014619426,-0.13906478941328923,-0.2288328262200415,-0.5735611451855094,-0.0954919847283009,-0.000549485287085357,-0.31360432912335034,1.0
