timestamp,year,dayOfYear,hourOfDay,latitude,longitude,rowDistance,plantDistance,rowOrientation,scenario,age_degreeDay,age_days,incomingRadiation,azimuth,zenith,solarElevation,leafAreaPerPlant,LAI,hourlyAbsorbedRadiation,fabsPlant,fparPlant,fabsSoil,fparSoil,fparGround,k,k_ground,fPARLow,fPARMid,fPARUp,fPARGlobal,fDiffuseLight,plantDensity,simuuid
2012-07-18T01:30:00,2012,200,1,44.786945,-0.579722,0.2,0.2,90.0,0,88.8207087578529,120.041664,0.0,6.842816060094918,121.96393743815861,-31.96393743815861,0.2930709946683095,7.326774866707736,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T02:30:00,2012,200,2,44.786945,-0.579722,0.2,0.2,90.0,0,88.83782316817191,120.083336,0.0,23.52033701351602,119.18467576341305,-29.184675763413054,0.2913880755367134,7.2847018884178345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T03:30:00,2012,200,3,44.786945,-0.579722,0.2,0.2,90.0,0,88.8535568601017,120.125,0.0,38.660405624241186,113.69882044997281,-23.698820449972814,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T04:30:00,2012,200,4,44.786945,-0.579722,0.2,0.2,90.0,0,88.86901527321093,120.166664,0.0,51.97824483116357,106.15520459531042,-16.155204595310423,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T05:30:00,2012,200,5,44.786945,-0.579722,0.2,0.2,90.0,0,88.88337680817833,120.208336,10.0,63.749988782075384,97.17737472451884,-7.177374724518842,0.29530984003311755,7.382746000827938,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T06:30:00,2012,200,6,44.786945,-0.579722,0.2,0.2,90.0,0,88.89883522128756,120.25,50.0,74.49990381285453,86.93647574392607,3.063524256073933,0.27024674059268733,6.7561685148171815,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T07:30:00,2012,200,7,44.786945,-0.579722,0.2,0.2,90.0,0,88.91705698910033,120.291664,150.0,84.83819948657798,76.6510253772794,13.348974622720604,0.278801877504759,6.9700469376189735,0.053833487382884654,0.45359699603712594,0.7295004541483322,0.4195729020082976,0.20144486374493453,0.2267295186027678,0.18758623454340806,0.0368901935165369,0.0,0.0398988523601014,0.4119787734231831,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T08:30:00,2012,200,8,44.786945,-0.579722,0.2,0.2,90.0,0,88.93638587714376,120.333336,250.0,95.4570364558147,66.05884341905534,23.941156580944664,0.2848840807010509,7.122102017526272,0.13963496229945124,0.7059323389952873,1.105929045154413,0.2170459838004149,0.1034481738152678,0.01,NaN,0.0014111474152952734,0.0,0.044656617553145796,0.2630290617766204,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T09:30:00,2012,200,9,44.786945,-0.579722,0.2,0.2,90.0,0,88.96036183459417,120.375,350.0,107.23565192899035,55.6548571858356,34.3451428141644,0.29530984003311755,7.382746000827938,0.1941161146696681,0.700974887914048,1.0998751007999474,0.25055360985335356,0.1272356840814357,0.01,NaN,0.001361327594417356,0.0,0.03868871517282314,0.28259719969734315,0.45,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
2012-07-18T10:30:00,2012,200,10,44.786945,-0.579722,0.2,0.2,90.0,0,88.98593312192364,120.416664,400.0,121.42576876986996,45.974314614264095,44.025685385735905,0.29530984003311755,7.382746000827938,0.21770664971033216,0.687892567851569,1.0726920965442686,0.08702456584603524,0.04155144325875679,0.01,NaN,0.001361327594417356,0.0,0.04865644381435942,0.2455670836836455,0.4528190135658873,1.0,24.999999999999996,"e38680b1-13b5-4d48-84ea-3777295d67b8"
