uuid,baseScenarioFile,Tmax,Tmin,cca,inputPAR,ENDING_LEAF_NUMBER
6a60a950-491d-45d3-a315-0bc11a005884,model.options.HGU.cane.20.json,27.5,15,400,1000,9
df919ace-210a-4d94-90bb-dcf90cfc18d8,model.options.HGU.cane.20.json,27.5,15,400,1000,12
3b6c2c27-96be-4dd1-a9cf-219aa45517e0,model.options.HGU.cane.20.json,27.5,15,400,1200,6
08c04b50-0095-436b-89e0-88bf934b5d55,model.options.HGU.cane.20.json,27.5,15,400,1200,9
705066bf-bb85-4aae-b125-3d58591cb276,model.options.HGU.cane.20.json,27.5,15,400,1200,12
4d2f2730-55d1-4937-b3cd-10457424111a,model.options.HGU.cane.20.json,27.5,15,650,800,6
e30b376d-89b0-4803-a1a8-3ea90709312b,model.options.HGU.cane.20.json,27.5,15,650,800,9
8683b600-8c68-4f06-a1d8-6a0458197477,model.options.HGU.cane.20.json,27.5,15,650,800,12
e8f7bfbe-996a-4359-834a-961de71bcaed,model.options.HGU.cane.20.json,27.5,15,650,1000,6
bd9b8bf0-b2e1-4e35-b93f-ba805bb34253,model.options.HGU.cane.20.json,27.5,15,650,1000,9
6ca85ab4-393a-41fe-9f71-85f37ecd0a99,model.options.HGU.cane.20.json,27.5,15,650,1000,12
c35e50ff-826e-4938-af30-a01934414e5b,model.options.HGU.cane.20.json,27.5,15,650,1200,6
c01270f0-b21b-432a-8bcc-0942f7b632cb,model.options.HGU.cane.20.json,27.5,15,650,1200,9
7b3099ee-e09c-4446-b821-eaec7310e7b5,model.options.HGU.cane.20.json,27.5,15,650,1200,12
8138d0b6-a7c0-4252-99a8-929ae45dcd73,model.options.HGU.cane.20.json,27.5,15,900,800,6
d76e0205-eeab-4d73-8d5b-61e4026063c2,model.options.HGU.cane.20.json,27.5,15,900,800,9
28cde6f1-f9fc-46ae-a4e5-d1594fbac17b,model.options.HGU.cane.20.json,27.5,15,900,800,12
247e7898-a5f5-4da5-af5f-4d55036c2eb3,model.options.HGU.cane.20.json,27.5,15,900,1000,6
bb08527e-820e-45b8-9533-7efc536cbc10,model.options.HGU.cane.20.json,27.5,15,900,1000,9
6f94954e-4920-4c12-a209-9871eece7f55,model.options.HGU.cane.20.json,27.5,15,900,1000,12
e274dce6-06e4-4962-b88c-8f0324d125ab,model.options.HGU.cane.20.json,27.5,15,900,1200,6
d353bb07-adb8-4466-8f80-4e5f9fab7569,model.options.HGU.cane.20.json,27.5,15,900,1200,9
e3fb5931-1778-4f6b-84a8-891965fa8725,model.options.HGU.cane.20.json,27.5,15,900,1200,12
5fbe9848-5a8a-48c1-859c-af6390b5d686,model.options.HGU.cane.20.json,27.5,15,1200,800,6
4c6d013c-5932-4079-869c-7fd07814cd6c,model.options.HGU.cane.20.json,27.5,15,1200,800,9
c0fd6d06-dc50-489c-9d51-5ad8f6bb60bd,model.options.HGU.cane.20.json,27.5,15,1200,800,12
d626c2b2-e16a-4a64-bcfd-374209329cca,model.options.HGU.cane.20.json,27.5,15,1200,1000,6
7ceced68-1090-478a-9e20-aa0befc0d089,model.options.HGU.cane.20.json,27.5,15,1200,1000,9
5f5e221b-129b-49ce-aa76-e256b21a2908,model.options.HGU.cane.20.json,27.5,15,1200,1000,12
5939df04-9a6c-401a-aebf-5eb5cf27115d,model.options.HGU.cane.20.json,27.5,15,1200,1200,6
6bf660c5-b62d-45c9-a4a2-229e7450ae53,model.options.HGU.cane.20.json,27.5,15,1200,1200,9
5ed8c89a-7eab-46c6-9abd-cda7ba094902,model.options.HGU.cane.20.json,27.5,15,1200,1200,12
55e4098a-3384-4314-8463-43c6622d7980,model.options.HGU.cane.20.json,27.5,17.5,400,800,6
89350777-337e-4d6c-b2d0-5c99a6879828,model.options.HGU.cane.20.json,27.5,17.5,400,800,9
ecc86ae6-8323-4584-abaa-82d8b0a19f26,model.options.HGU.cane.20.json,27.5,17.5,400,800,12
ddc5337f-84ac-4c04-91ca-e0ac10b72a08,model.options.HGU.cane.20.json,27.5,17.5,400,1000,6
0a4ca200-b97b-4af3-a59c-b32b003808b4,model.options.HGU.cane.20.json,27.5,17.5,400,1000,9
2a6ca21c-04d0-4e63-bfe6-704da6059cfc,model.options.HGU.cane.20.json,27.5,17.5,400,1000,12
23b5e6cf-ff03-4cf4-b491-379a455bdbf7,model.options.HGU.cane.20.json,27.5,17.5,400,1200,6
b8c57b96-c224-436f-ab46-e17fc29f86dd,model.options.HGU.cane.20.json,27.5,17.5,400,1200,9
b9bf3f85-150d-46e3-ad15-6cb1a35f604e,model.options.HGU.cane.20.json,27.5,17.5,400,1200,12
81e11e5d-90e2-4c20-a3d7-d920823a0d65,model.options.HGU.cane.20.json,27.5,17.5,650,800,6
aa983c5d-2382-437f-a004-ea1f53ae431d,model.options.HGU.cane.20.json,27.5,17.5,650,800,9
3c04b78f-470e-4877-bfa2-308933df0069,model.options.HGU.cane.20.json,27.5,17.5,650,800,12
f0d725c2-e558-4fea-9dfd-9b5463a1656f,model.options.HGU.cane.20.json,27.5,17.5,650,1000,6
d7d570d2-3598-457a-bbd2-26baa43e67d9,model.options.HGU.cane.20.json,27.5,17.5,650,1000,9
f4c63091-0762-4df5-a0ad-ea3ff34d0f77,model.options.HGU.cane.20.json,27.5,17.5,650,1000,12
04804c34-446e-4b2e-900d-38f1a46246c6,model.options.HGU.cane.20.json,27.5,17.5,650,1200,6
0fe77f1d-7a47-4c19-9e43-c0fdcb439189,model.options.HGU.cane.20.json,27.5,17.5,650,1200,9
5d68ad57-8ad0-4583-b31f-1887620f21f3,model.options.HGU.cane.20.json,27.5,17.5,650,1200,12
3d952edc-6625-4393-a0a0-27e9e1831719,model.options.HGU.cane.20.json,27.5,17.5,900,800,6
0b72c649-5ac8-4571-b8f1-0f59be148b82,model.options.HGU.cane.20.json,27.5,17.5,900,800,9
745218d4-0ada-4741-ab0a-030d5d79a290,model.options.HGU.cane.20.json,27.5,17.5,900,800,12
82e2a588-0fbb-4bfe-bacd-ffbdc399c8dd,model.options.HGU.cane.20.json,27.5,17.5,900,1000,6
f392a6a9-433e-4a29-b993-68e4b6237b87,model.options.HGU.cane.20.json,27.5,17.5,900,1000,9
