timestamp,step,year,dayOfYear,hourOfDay,scenario,simuuid,plantNumber,fieldInstanceId,day,hour,useCPStyleCTResponse,iterationCount,convergenceError,totalLoading,totalUnloading,netFluxResidual,relativeFluxResidual,minCp,maxCp,meanCp,minSugar,maxSugar,meanSugar,ctPlantBaseFallbackUsed,"ctPlantBaseFallbackReason",ctPlantBaseFallbackCount,ctPlantBaseResidual,ctPlantBaseDenominator,absoluteFluxError,"relativeFluxConvergenceError","ctPlantBaseAbsoluteResidual","ctPlantBaseRelativeResidual",ctDampingFactor,ctRawPlantBasePhi,ctAcceptedPlantBasePhi,ctConverged,ctMaxIterationReached,ctNonlinearMerit,ctRetryUsed,ctRetryConverged,ctSolverFallbackUsed,"ctInvalidUnfoldTrialCount",ctFinalIterationLimit,ctBootstrapFallbackUsed,ctHasAcceptedHourlyState,ctStoredPlantBaseSugar,ctPlantBaseSugarFromPhi,"ctAcceptedHourlyPlantBaseSugar","ctFailedTrialPlantBasePhi","ctFailedTrialPlantBaseSugar",ctFailedTrialMinSugar,ctFailedTrialMaxSugar,ctFailedTrialMeanSugar,ctFailedTrialMerit,sumLocalJ,pbFoldedJ,closureResidual,closureScale,relativeClosureResidual,closureNormalizedError,netFluxIdentityResidual,totalGrowingOrganCount,foldedGrowingOrganCount,"unfoldedGrowingOrganCount",foldCoverageComplete,unfoldCoverageComplete,sumLeafJ,sumLeafTaylorJ,sumPetioleJ,sumPetioleTaylorJ,sumShootJ,sumShootTaylorJ,sumFruitJ,sumFruitTaylorJ,sumFlowerJ,sumFlowerTaylorJ,sumFineRootJ,sumFineRootTaylorJ,sumStructuralRootJ,sumStructuralRootTaylorJ,sumFruitExactUnloading,sumFruitExactActive,sumFruitExactMassFlow,sumFruitStoredUnloading,"fruitLinearizationResidual","fruitLinearizationRelativeResidual","maxFruitLinearizationResidual","maxFruitLinearizationRelativeResidual",maxFruitResidualOrganID,"fruitStoredVsExactResidual","maxFruitTaylorPointResidual","maxFruitTaylorPointRelativeResidual",simpleRootActive,simpleRootTopologyValid,simpleRootFoldValid,simpleRootUnfoldValid,"simpleRootDoubleFoldCount",simpleRootMinLayer,simpleRootMaxLayer,simpleRootLayerCount,"simpleStructuralRootExpected","simpleStructuralRootFolded","simpleStructuralRootUnfolded",simpleFineRootExpected,simpleFineRootFolded,simpleFineRootUnfolded,simpleRootLocalJ,simpleRootFoldedJ,"simpleRootClosureResidual","simpleRootRelativeClosureResidual"
2021-11-01T01:30:00,1,2021,305,1,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,1,true,4,1.758292254779873E-7,0.017588867097483075,0.01758886770413096,-6.066478847044365E-10,3.4490445599403645E-8,6.35540698625752E-4,9.38234811244209E-4,7.959936802840583E-4,0.08875994384288788,0.10784527659416199,0.09933450818061829,0,0,0,0.0,77.93936812231507,1.758292254779873E-7,4.998310052355045E-6,0.0,0.0,1.0,6.414100744200215E-4,6.414100744200215E-4,true,false,0.01758292254779873,false,false,false,0,30,false,true,0.08916886895895004,0.08916886895895004,0.08916886895895004,6.414082271386442E-4,0.0891687348484993,0.08875980228185654,0.10784566402435303,0.09909150884910063,2.2297180079118344,6.066478844875961E-10,0.0,6.066478844875961E-10,0.03517773480161403,1.72452230909354E-8,6.06647884487596E-5,-2.168404344971009E-19,55,55,55,true,true,-0.017303442295431168,-0.017303442295431168,4.663879412007975E-6,4.663879412007975E-6,0.0020042799218210837,0.0020042799218210837,0.0,0.0,0.0,0.0,-2.8519402443559667E-5,-2.8519402443559667E-5,0.015323018503289512,0.015323018503289512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.015294499100845953,0.015294499853704714,-7.528587614435978E-10,4.922415042301866E-8
2021-11-01T02:30:00,2,2021,305,2,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,2,true,3,1.674313344200694E-7,0.018036429653815352,0.01803643086060935,-1.2067939980653364E-9,6.690869204621371E-8,5.868305810074032E-4,8.807496265100397E-4,7.390627757933333E-4,0.08529070764780045,0.10448923707008362,0.09571631997823715,0,0,0,0.0,79.77007422545537,1.674313344200694E-7,4.641476501513305E-6,0.0,0.0,1.0,5.91635151917677E-4,5.91635151917677E-4,true,false,0.01674313344200694,false,false,false,0,30,false,true,0.08563914895057678,0.08563914895057678,0.08563914895057678,5.916337397680525E-4,0.08563904464244843,0.08529059588909149,0.10448972880840302,0.09545814733613621,1.1237126292592905,1.2067939952464107E-9,0.0,1.2067939952464107E-9,0.0360728605144247,3.345434706415483E-8,1.2067939952464106E-4,-2.8189256484623115E-18,55,55,55,true,true,-0.01702238728236715,-0.01702238728236715,4.6607070561164885E-6,4.6607070561164885E-6,0.00149987808690522,0.00149987808690522,0.003023052984203643,0.003023052984203643,0.0,0.0,-3.6148715092034693E-4,-3.6148715092034693E-4,0.012856283861916515,0.012856283861916515,0.0030230529039943256,0.0028810622652151226,1.4199063877920308E-4,0.0030230470125586577,8.02093174864793E-11,2.653255431036009E-8,6.495186636798489E-11,6.419150960067289E-8,30634245,-5.8914356678742286E-9,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.012494796710996167,0.012494796378163829,3.328323380791254E-10,2.6637675328179854E-8
2021-11-01T03:30:00,3,2021,305,3,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,3,true,2,2.6791863047593515E-6,0.017023167838752643,0.01702316702258595,8.161666932571254E-10,4.7944466093975214E-8,5.802552093237868E-4,8.570528907046221E-4,7.229993183054701E-4,0.08481152355670929,0.10307400673627853,0.09467042237520218,0,0,0,0.0,77.70437015447543,2.6791863047593515E-6,7.868755245782494E-5,0.0,0.0,1.0,5.846994936158465E-4,5.846994936158465E-4,true,false,0.2679186304759351,false,false,false,0,30,false,true,0.08513569831848145,0.08513569831848145,0.08513569831848145,5.847037636593909E-4,0.08513601124286652,0.08481211960315704,0.10305457562208176,0.0944238150661642,221.23598570419517,-8.161666891371572E-10,0.0,-8.161666891371572E-10,0.0340463348613386,2.3972233500644947E-8,8.161666891371572E-5,4.119968255444917E-18,55,55,55,true,true,-0.015914869940462234,-0.015914869940462234,4.654398679944109E-6,4.654398679944109E-6,0.0013586511890160407,0.0013586511890160407,0.0030054998608527363,0.0030054998608527363,0.0,0.0,-4.043523738306153E-4,-4.043523738306153E-4,0.011950416049577443,0.011950416049577443,0.00300549979161724,0.0028766702491360777,1.2882954248116227E-4,0.0030054601820877166,6.92354962424091E-11,2.3036266660403452E-8,3.843631988208196E-11,3.8689286315892496E-8,30634247,-3.9609529523497444E-8,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.011546063675746827,0.011546062597923061,1.0778237660019618E-9,9.334988930175336E-8
2021-11-01T04:30:00,4,2021,305,4,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,4,true,2,6.407276926743651E-6,0.01710122301206303,0.017101223582303947,-5.702409169860978E-10,3.334503605789783E-8,5.472161429517463E-4,8.045095761743715E-4,6.808506095943688E-4,0.0823616087436676,0.09986446052789688,0.09186948090791702,0,0,0,0.0,81.86701418291055,6.407276926743651E-6,1.8731504925182724E-4,0.0,0.0,1.0,5.514751790653015E-4,5.514751790653015E-4,true,false,0.640727692674365,false,false,false,0,30,false,true,0.08268149197101593,0.08268149197101593,0.08268149197101593,5.511019041831475E-4,0.08265351504087448,0.08233343064785004,0.09983265399932861,0.09161597016182813,160.76882949932138,5.702409165524169E-10,0.0,5.702409165524169E-10,0.03420244659436697,1.667251829424196E-8,5.7024091655241686E-5,-4.336808689942018E-19,55,55,55,true,true,-0.015245084059978476,-0.015245084059978476,4.670156149841446E-6,4.670156149841446E-6,0.0012028140817514658,0.0012028140817514658,0.002966653454078629,0.002966653454078629,0.0,0.0,-8.699036028200107E-4,-8.699036028200107E-4,0.01194085054105947,0.01194085054105947,0.0029666533781793417,0.002842226131913706,1.2442724626563574E-4,0.0029661665630898813,7.589928728915507E-11,2.558414336693315E-8,6.215418999790112E-11,6.218573452819815E-8,30634245,-4.86815089460399E-7,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.011070946938239457,0.011070946466133855,4.721056011403046E-10,4.264365133118239E-8
2021-11-01T05:30:00,5,2021,305,5,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,5,true,3,5.327500400589305E-7,0.012241229631950457,0.012241230210748553,-5.787980962568273E-10,4.728267390548762E-8,6.959257645475641E-4,9.372727183329915E-4,8.141681940564555E-4,0.092880979180336,0.10778996348381042,0.10046213865280151,0,0,0,0.0,54.74742184916106,5.327500400589305E-7,2.1760478460165986E-5,0.0,0.0,1.0,6.989838092907112E-4,6.989838092907112E-4,true,false,0.053275004005893044,false,false,false,0,30,false,true,0.09308482706546783,0.09308482706546783,0.09308482706546783,6.989694006013668E-4,0.09308387339115143,0.09287998080253601,0.10779143869876862,0.10031549768014388,8.064363264932187,5.787980971241891E-10,0.0,5.787980971241891E-10,0.024482459842699006,2.3641337547084523E-8,5.78798097124189E-5,8.673617379884035E-19,55,55,55,true,true,-0.012138335625043274,-0.012138335625043274,4.570169987511292E-6,4.570169987511292E-6,0.0010960825406442515,0.0010960825406442515,0.0031379254907172313,0.0031379254907172313,0.0,0.0,8.268461064954325E-4,8.268461064954325E-4,0.007072911895996943,0.007072911895996943,0.003137925478973348,0.0029979455592539293,1.399799197194187E-4,0.0031379095305595715,1.1743883209652806E-11,3.7425627996567E-9,7.879784368405862E-11,7.57389917653449E-8,30634247,-1.5948413776677856E-8,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.007899758002492378,0.007899757797802592,2.0468978595422627E-10,2.5910893205797764E-8
2021-11-01T06:30:00,6,2021,305,6,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,6,true,2,3.2226042722094904E-6,0.01093225607830044,0.010932256800677099,-7.22376658490731E-10,6.607754205389595E-8,7.011539969110657E-4,9.178994787201634E-4,8.064703664024892E-4,0.09322921931743622,0.10667014867067337,0.09998609125614166,0,0,0,0.0,51.60899345892105,3.2226042722094904E-6,1.4738971272979897E-4,0.0,0.0,1.0,7.037600211211022E-4,7.037600211211022E-4,true,false,0.322260427220949,false,false,false,0,30,false,true,0.09340231865644455,0.09340231865644455,0.09340231865644455,7.03715306962952E-4,0.09339934587478638,0.09322649240493774,0.10668743401765823,0.09987190108407627,272.07269472346417,7.223766597917736E-10,0.0,7.223766597917736E-10,0.021864512878977546,3.303877217801315E-8,7.223766597917736E-5,1.3010426069826053E-18,55,55,55,true,true,-0.010811870312246072,-0.010811870312246072,4.557815447541548E-6,4.557815447541548E-6,9.435293047884653E-4,9.435293047884653E-4,0.0031406453692588935,0.0031406453692588935,0.0,0.0,8.569648174088597E-4,8.569648174088597E-4,0.005866173727718974,0.005866173727718974,0.0031406454453433716,0.0030057519040699266,1.3489354127344541E-4,0.003140645522746603,-7.608447812751384E-11,2.4225745774749627E-8,3.683603682497205E-11,3.5350467238236E-8,30634247,7.740323139382443E-11,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.0067231385451278335,0.006723138210430267,3.346975665369234E-10,4.978293460566481E-8
2021-11-01T07:30:00,7,2021,305,7,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,7,true,3,3.067384632206211E-7,0.017732408524804594,0.017732407876499937,6.483046564864647E-10,3.656043991878474E-8,5.87664814668997E-4,8.764136549385371E-4,7.357172434153505E-4,0.08535131067037582,0.10423172265291214,0.0954994410276413,0,0,0,0.0,78.55724660826338,3.067384632206211E-7,8.649070531648362E-6,0.0,0.0,1.0,5.923864567745179E-4,5.923864567745179E-4,true,false,0.030673846322062107,false,false,false,0,30,false,true,0.08569350838661194,0.08569350838661194,0.08569350838661194,5.923785345350805E-4,0.08569293469190598,0.08535066246986389,0.10422756522893906,0.09524774768135764,12.820199341570973,-6.483046560527839E-10,0.0,-6.483046560527839E-10,0.03546481640130453,1.828022028133034E-8,6.483046560527839E-5,4.336808689942018E-19,55,55,55,true,true,-0.016751601975863433,-0.016751601975863433,4.657552381366914E-6,4.657552381366914E-6,0.0014564371956738071,0.0014564371956738071,0.003032948453968974,0.003032948453968974,0.0,0.0,-3.47225771050799E-4,-3.47225771050799E-4,0.01260478389658543,0.01260478389658543,0.003032948574792177,0.0029110269734058227,1.219216013863546E-4,0.0030329453683954994,-1.2082320300504934E-10,3.983687821456991E-8,9.022731975623366E-11,9.000470574346342E-8,30634247,-3.2063966776824104E-9,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.012257558125534631,0.01225755852555329,-4.0001865882210996E-10,3.263444820501509E-8
2021-11-01T08:30:00,8,2021,305,8,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,8,true,3,8.365860243755721E-7,0.023730132950075606,0.023730132831197712,1.1887789364006807E-10,5.009575542209059E-9,5.113683603333325E-4,7.98402404241071E-4,6.645048122780444E-4,0.0796181857585907,0.09948469698429108,0.09075997769832611,0,0,0,0.0,111.28470038442754,8.365860243755721E-7,1.7626908362458535E-5,0.0,0.0,1.0,5.172176098619388E-4,5.172176098619388E-4,true,false,0.0836586024375572,false,false,false,0,30,false,true,0.08007224649190903,0.08007224649190903,0.08007224649190903,5.1721793804216E-4,0.08007226884365082,0.07961815595626831,0.09947717934846878,0.09046518233689395,19.421910398255868,-1.1887789656741393E-10,0.0,-1.1887789656741393E-10,0.047460265781273304,2.504787839058422E-9,1.1887789656741392E-5,-2.927345865710862E-18,55,55,55,true,true,-0.01950745599270727,-0.01950745599270727,4.7723664131237315E-6,4.7723664131237315E-6,0.0014084325806894699,0.0014084325806894699,0.002942630035534828,0.002942630035534828,0.0,0.0,-0.0024542762537518954,-0.0024542762537518954,0.01760589714494385,0.01760589714494385,0.0029426300531029377,0.0028323410036599946,1.102890494429436E-4,0.002942636085253258,-1.7568109727389425E-11,5.970206723357645E-9,5.761152199832559E-11,5.936220178557548E-8,30634247,6.032150320044172E-9,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.015151620891191956,0.01515162090994572,-1.875376416660135E-11,1.2377397955020861E-9
2021-11-01T09:30:00,9,2021,305,9,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,9,true,3,1.3534693971667614E-6,0.02667231603270551,0.0266723174188631,-1.3861575914875246E-9,5.196989709290169E-8,5.090635687106721E-4,7.862966953847938E-4,6.598240726975243E-4,0.07943855971097946,0.09872759878635406,0.09043976664543152,0,0,0,0.0,128.1867693245597,1.3534693971667614E-6,2.537177699711851E-5,0.0,0.0,1.0,5.15435375874921E-4,5.15435375874921E-4,true,false,0.13534693971667613,false,false,false,0,30,false,true,0.07993416488170624,0.07993416488170624,0.07993416488170624,5.154410351104957E-4,0.07993461191654205,0.07943898439407349,0.09871978312730789,0.09016211141239514,15.643414471652408,1.386157595173812E-9,0.0,1.386157595173812E-9,0.05334463345156861,2.598494929077166E-8,1.386157595173812E-4,3.686287386450715E-18,55,55,55,true,true,-0.020701361708147265,-0.020701361708147265,4.834110721818797E-6,4.834110721818797E-6,0.0012893115754341827,0.0012893115754341827,0.0029464797701047865,0.0029464797701047865,0.0,0.0,-0.003568235869339219,-0.003568235869339219,0.02002897350738329,0.02002897350738329,0.0029464797974069062,0.002836403632601439,1.100761648054675E-4,0.002946482166103396,-2.7302119766370314E-11,9.266012884391046E-9,4.0057947844202024E-11,4.089917086143597E-8,30634246,2.3686964898197993E-9,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.016460737638044072,0.016460736445722303,1.192321769094562E-9,7.243428546840251E-8
2021-11-01T10:30:00,10,2021,305,10,0,"f855c612-9d38-4c7f-b599-eaf0ad04dce1",1,0,0,10,true,2,2.3817805641759775E-6,0.02725653116640337,0.027256531184206137,-1.7802766205665677E-11,6.531559751807865E-10,5.109716326355723E-4,7.88198604408415E-4,6.620367776518604E-4,0.07958729565143585,0.0988469272851944,0.09059128165245056,0,0,0,1.3877787807814457E-17,131.6226476229448,2.3817805641759775E-6,4.369192376053236E-5,1.3877787807814457E-17,2.0375010779697762E-16,1.0,5.174778595936911E-4,5.174778595936911E-4,true,false,0.23817805641759773,false,false,false,0,30,false,true,0.08009238541126251,0.08009238541126251,0.08009238541126251,5.17433415960811E-4,0.08008895069360733,0.07958699017763138,0.09883935749530792,0.09031677923419258,170.310823545859,1.7802759049931338E-11,1.3877787807814457E-17,1.780274517214353E-11,0.05451306235060951,3.265776018533378E-10,1.7802745172143528E-6,-7.15573433840433E-18,55,55,55,true,true,-0.020924875311898728,-0.020924875311898728,4.847212337964909E-6,4.847212337964909E-6,0.0012537087343952038,0.0012537087343952038,0.0029563793405244987,0.0029563793405244987,0.0,0.0,-0.003797452341689197,-0.003797452341689197,0.020507392384133016,0.020507392384133016,0.0029563793660141915,0.002844854049764085,1.1152531625010714E-4,0.002956357805817235,-2.5489692821734078E-11,8.621928942799867E-9,4.791251857066969E-11,4.87517276172059E-8,30634246,-2.1560196956319638E-8,0.0,0.0,true,true,true,true,0,0,3,4,4,4,4,4,4,4,0.01670994004244382,0.01670993946816083,5.742829892185775E-10,3.436774684767743E-8
