year,day,hour,fPARLow_ratio,fPARMid_ratio,fPARUp_ratio,fabsSoil_ratio,fparSoil_ratio,fabsFarRed_correction
2012,195,10,0,0,0.925652131751427,0.852073557668917,0.853822376320934,1.09513949059963
2012,195,11,0,0,0.925652131751427,0.435582710831661,0.432237360598796,1.09595392314092
2012,195,12,0,0,1,0.0487116005536975,0.0320594971853761,1
2012,195,13,0,0,0.929325900877592,1,1,1.09209103927783
2012,195,14,0,0,1,0.840290516390453,0.844814222300387,1
2012,195,15,0,0,1,0.740084720631577,0.740631207030043,1
2012,195,16,0,0,0.929404617554201,0.104415272033942,0.0727488991954713,1.09715595241387
2012,195,17,0,0,0.934255199401392,1,1,1.09426394580895
2012,195,18,0,0,0.931175885610632,1,1,1.09787596647974
2012,195,19,0,0,1,0.0881195940115592,0.054761490821646,1
2012,195,20,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,195,21,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,195,22,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,195,23,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,0,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,1,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,2,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,3,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,4,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,5,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,6,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,7,0,0,0,0.0881195940115592,0.054761490821646,NA
2012,196,8,0,0,0.928909166363762,0.351821317516336,0.34795401405209,1.09822080324223
2012,196,9,0,0,0.942945336179746,1,1,1.08762886277654
2012,196,10,0,0,0.928955915937577,1,1,1.09404147992647
2012,196,11,0,0,1,0.0533387847540543,0.0363750110297632,1
2012,196,12,0,0,1,0.0302471749945146,0.0183734457253744,1
2012,196,13,0,0,1,0.577086370929843,0.575323984898885,1
2012,196,14,0,0,0.876076617039673,1,1,1.12604608963901
2012,196,15,0,0,0.931536056939723,0.0338269720077806,0.0219471294721081,1.09453792908006
2012,196,16,0,0,0.931352527270033,1,1,1.09795430664216
2012,196,17,0,0,1,0.0734542934849708,0.0558827039761313,1
2012,196,18,0,0,0.930992713040231,0.570474113169438,0.569452873113214,1.0980281403408
2012,196,19,0,0,1,1,1,1
2012,196,20,0,0,1,0.0339059189890799,0.0211583567157445,1
2012,196,21,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,196,22,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,196,23,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,0,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,1,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,2,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,3,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,4,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,5,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,6,0,0,0,0.0339059189890799,0.0211583567157445,NA
2012,197,7,0,0,1,0.0473778972921348,0.028696833769092,1
2012,197,8,0,0,0.943334597192564,0.057364372855503,0.0394390214780877,1.09036246530761
2012,197,9,0,0,1,0.44879760712959,0.445439532042378,1
2012,197,10,0,0,0.951394606504376,0.0335634151544031,0.0243597516870327,1.07792523567188
2012,197,11,0,0,0.931074544530826,0.0205067416271041,0.0131127177998048,1.09389078369453
2012,197,12,0,0,0.931305391237224,0.580996188965404,0.579350043556778,1.09244549016278
2012,197,13,0,0,0.928558870320289,0.5681682261721,0.566194509515193,1.09372569326871
2012,197,14,0,0,0.930773710469143,0.0444710219984927,0.0269687272636712,1.09322673853737
2012,197,15,0,0,0.927325285727888,1,1,1.09643740630843
2012,197,16,0,0,1,0.861478057224128,0.867047875055259,1
2012,197,17,0,0,0.933355040116214,1,1,1.0942288065799
2012,197,18,0,0,0.942122760186222,0.0407481813381194,0.0218863448563786,1.09449786134503
2012,197,19,0,0,1,0.0401182276770782,0.0274969946474091,1
2012,197,20,0,0,1,1,1,1
2012,197,21,0,0,0,1,1,NA
2012,197,22,0,0,0,1,1,NA
2012,197,23,0,0,0,1,1,NA
2012,198,0,0,0,0,1,1,NA
2012,198,1,0,0,0,1,1,NA
2012,198,2,0,0,0,1,1,NA
2012,198,3,0,0,0,1,1,NA
2012,198,4,0,0,0,1,1,NA
2012,198,5,0,0,0,1,1,NA
2012,198,6,0,0,0,1,1,NA
2012,198,7,0,0,0.528971594265742,0.430136197741433,0.426502324882507,1.35718931389021
2012,198,8,0,0,1,1,1,1
2012,198,9,0,0,0.938628733837977,0.303515489856418,0.299722120935126,1.09312682643565
2012,198,10,0,0,0.930117102971511,1,1,1.09496492175494
2012,198,11,0,0,0.928544306233131,0.693979659658456,0.694201057838489,1.09344403567576
2012,198,12,0,0,0.932356962010391,1,1,1.09248177449084
2012,198,13,0,0,0.640697127814437,0.0462882878409936,0.029317856354178,1.20136325976141
2012,198,14,0,0,0.928264524447364,1,1,1.09195046243604
2012,198,15,0,0,1,0.35013009578737,0.3464482350223,1
2012,198,16,0,0,1,1,1,1
2012,198,17,0,0,0.934878401605009,1,1,1.09752411111822
2012,198,18,0,0,0.930331774360062,0.578004915589745,0.576134716939394,1.09891084336692
2012,198,19,0,0,0.860667546683819,0.0137210512342449,0.00869001389159344,1.12975497746615
2012,198,20,0,0,1,0.0307622708250601,0.0179757494738984,1
2012,198,21,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,198,22,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,198,23,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,0,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,1,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,2,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,3,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,4,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,5,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,6,0,0,0,0.0307622708250601,0.0179757494738984,NA
2012,199,7,0,0,0.929370397379009,0.355999418141211,0.352191614676765,1.09815930278502
2012,199,8,0,0,1,1,1,1
2012,199,9,0,0,0.929621932042207,0.832334780500799,0.837015463469126,1.09817152920106
2012,199,10,0,0,0.929345483106179,1,1,1.093304723566
2012,199,11,0,0,0.929991575148734,1,1,1.09431977792713
2012,199,12,0,0,1,1,1,1
2012,199,13,0,0,0.955722647768752,1,1,1.0837227448341
2012,199,14,0,0,0.930299986035143,0.853016152395422,0.855575651926242,1.09459773051567
2012,199,15,0,0,0.932097720234895,0.678286774416652,0.678332150537004,1.09468585570167
2012,199,16,0,0,0.93054281954961,0.350577105763808,0.34664288814365,1.09860063379089
2012,199,17,0,0,0.931068357506395,0.43187158366557,0.428258258647882,1.09930051678488
2012,199,18,0,0,0.930296692155204,0.437386911901986,0.43379961056212,1.09826586949532
2012,199,19,0,0,0.886826494562289,1,1,1.12996172692943
2012,199,20,0,0,0.933630532512774,1,1,1.09891059979657
2012,199,21,0,0,0,1,1,NA
2012,199,22,0,0,0,1,1,NA
2012,199,23,0,0,0,1,1,NA
2012,200,0,0,0,0,1,1,NA
2012,200,1,0,0,0,1,1,NA
2012,200,2,0,0,0,1,1,NA
2012,200,3,0,0,0,1,1,NA
2012,200,4,0,0,0,1,1,NA
2012,200,5,0,0,0,1,1,NA
2012,200,6,0,0,0,1,1,NA
2012,200,7,0,0,0.862253861060893,0.0602034980801962,0.0419025797572616,1.13005778818348
2012,200,8,0,0,0.93838863829241,0.580814617132888,0.578988128640026,1.0941318651538
2012,200,9,0,0,0.940583532369054,0.435315165722999,0.431809429662984,1.08891086292779
2012,200,10,0,0,0.947725020970455,0.437292467669186,0.434001444933571,1.08398122843142
2012,200,11,0,0,1,0.349753089205367,0.346234791169871,1
2012,200,12,0,0,0.932672305306149,0.0807131269334094,0.05099381458184,1.08930044126831
2012,200,13,0,0,0.932810122457094,0.496533626849289,0.495119540778687,1.09050313409724
2012,200,14,0,0,0.936165302083103,0.357864316193503,0.354389670682479,1.086435150286
2012,200,15,0,0,0.931907360820591,0.437074359146804,0.433719637446032,1.0946102937408
2012,200,16,0,0,0.928568167510889,0.445265137845127,0.44193018006977,1.09640784111694
2012,200,17,0,0,0.931734123773194,0.850170175501503,0.851995427762685,1.09873676329725
2012,200,18,0,0,0.931974052222124,0.252407096083225,0.248702737974735,1.0977118315432
2012,200,19,0,0,1,0.042402596465204,0.0236946092053346,1
2012,200,20,0,0,0.931465706081669,0.0552413527384138,0.0368697598122203,1.09866659931488
2012,200,21,0,0,0,0.0552413527384138,0.0368697598122203,NA
2012,200,22,0,0,0,0.0552413527384138,0.0368697598122203,NA
2012,200,23,0,0,0,0.0552413527384138,0.0368697598122203,NA
2012,201,0,0,0,0,0.0552413527384138,0.0368697598122203,NA
2012,201,1,0,0,0,0.0552413527384138,0.0368697598122203,NA
