station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall
Bordeaux,2012,197,18,26.6855,0.4435,316.1019231,400,1.1,-0.05,,
Bordeaux,2012,197,19,25.394,0.4595,163.7328846,400,1.1,-0.05,,
Bordeaux,2012,197,20,23.9995,0.4975,72.93,400,1.1,-0.05,,
Bordeaux,2012,197,21,22.6695,0.61315,17.08173077,400,1.1,-0.05,,
Bordeaux,2012,197,22,21.2145,0.7191,0.215769231,400,1.1,-0.05,,
Bordeaux,2012,197,23,20.2335,0.76065,0,400,1.1,-0.05,,
Bordeaux,2012,198,0,19.437,0.7755,0.215769231,400,1.1,-0.05,,
Bordeaux,2012,198,1,18.7975,0.77905,0,400,1.1,-0.05,,
Bordeaux,2012,198,2,18.2425,0.78295,0.647307692,400,1.1,-0.05,,
Bordeaux,2012,198,3,17.7505,0.7839,0.251730769,400,1.1,-0.05,,
Bordeaux,2012,198,4,17.2935,0.784,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,198,5,16.915,0.78795,0.036752692,400,1.1,-0.05,,
Bordeaux,2012,198,6,16.615,0.79065,8.415,400,1.1,-0.05,,
Bordeaux,2012,198,7,17.912,0.7941,85.69634615,400,1.1,-0.05,,
Bordeaux,2012,198,8,21.452,0.64225,308.1903846,400,1.1,-0.05,,
Bordeaux,2012,198,9,27.253,0.5219,939.3153846,400,1.1,-0.05,,
Bordeaux,2012,198,10,29.427,0.44685,1031.736538,400,1.1,-0.05,,
Bordeaux,2012,198,11,28.526,0.4589,874.5846154,400,1.1,-0.05,,
Bordeaux,2012,198,12,30.1305,0.42065,2478.109615,400,1.1,-0.05,,
Bordeaux,2012,198,13,31.1025,0.38925,2468.4,400,1.1,-0.05,,
Bordeaux,2012,198,14,31.639,0.37385,2200.126924,400,1.1,-0.05,,
Bordeaux,2012,198,15,32.035,0.3605,2481.541785,400,1.1,-0.05,,
Bordeaux,2012,198,16,31.215,0.3608,1618.956096,400,1.1,-0.05,,
Bordeaux,2012,198,17,30.398,0.3778,590.1288461,400,1.1,-0.05,,
Bordeaux,2012,198,18,28.9625,0.42445,249.7528846,400,1.1,-0.05,,
Bordeaux,2012,198,19,27.0875,0.46325,152.5488461,400,1.1,-0.05,,
Bordeaux,2012,198,20,25.8075,0.4739,71.27576924,400,1.1,-0.05,,
Bordeaux,2012,198,21,24.2355,0.5278,17.90884615,400,1.1,-0.05,,
Bordeaux,2012,198,22,22.848,0.6352,0.4675,400,1.1,-0.05,,
Bordeaux,2012,198,23,21.9885,0.73465,0.036752692,400,1.1,-0.05,,
Bordeaux,2012,199,0,21.2405,0.7817,0.147010769,400,1.1,-0.05,,
Bordeaux,2012,199,1,20.6125,0.7947,0.514537692,400,1.1,-0.05,,
Bordeaux,2012,199,2,19.9685,0.79895,0.367526924,400,1.1,-0.05,,
Bordeaux,2012,199,3,19.391,0.80145,0.404279615,400,1.1,-0.05,,
Bordeaux,2012,199,4,18.984,0.8055,0.404279615,400,1.1,-0.05,,
Bordeaux,2012,199,5,18.5945,0.805,0.147010769,400,1.1,-0.05,,
Bordeaux,2012,199,6,18.245,0.80165,9.134230769,400,1.1,-0.05,,
Bordeaux,2012,199,7,19.6185,0.80805,82.60365385,400,1.1,-0.05,,
Bordeaux,2012,199,8,23.54,0.6394,315.0230769,400,1.1,-0.05,,
Bordeaux,2012,199,9,27.896,0.4957,947.5865385,400,1.1,-0.05,,
Bordeaux,2012,199,10,30.142,0.44915,1034.613462,400,1.1,-0.05,,
Bordeaux,2012,199,11,29.6905,0.4127,1254.338461,400,1.1,-0.05,,
Bordeaux,2012,199,12,32.0905,0.34985,2615.123077,400,1.1,-0.05,,
Bordeaux,2012,199,13,33.269,0.3115,2507.238461,400,1.1,-0.05,,
Bordeaux,2012,199,14,32.647,0.304,2184.663461,400,1.1,-0.05,,
Bordeaux,2012,199,15,32.868,0.329,2558.722439,400,1.1,-0.05,,
Bordeaux,2012,199,16,32.458,0.3149,1810.80515,400,1.1,-0.05,,
Bordeaux,2012,199,17,31.5865,0.31495,595.8826924,400,1.1,-0.05,,
Bordeaux,2012,199,18,30.118,0.32815,245.2217308,400,1.1,-0.05,,
Bordeaux,2012,199,19,27.976,0.3787,149.4201924,400,1.1,-0.05,,
Bordeaux,2012,199,20,26.084,0.4536,67.64365385,400,1.1,-0.05,,
Bordeaux,2012,199,21,24.967,0.493,16.47038461,400,1.1,-0.05,,
Bordeaux,2012,199,22,24.1315,0.57255,0.251730769,400,1.1,-0.05,,
Bordeaux,2012,199,23,23.1545,0.6811,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,200,0,22.3135,0.7619,0,400,1.1,-0.05,,
Bordeaux,2012,200,1,21.6245,0.7909,0.035961539,400,1.1,-0.05,,
Bordeaux,2012,200,2,20.964,0.79735,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,200,3,20.401,0.79965,0.143846154,400,1.1,-0.05,,
Bordeaux,2012,200,4,19.944,0.806,0,400,1.1,-0.05,,
Bordeaux,2012,200,5,19.5435,0.8105,0.251730769,400,1.1,-0.05,,
Bordeaux,2012,200,6,19.177,0.8165,8.450961539,400,1.1,-0.05,,
Bordeaux,2012,200,7,20.608,0.7968,80.41,400,1.1,-0.05,,
Bordeaux,2012,200,8,24.282,0.62855,294.8846154,400,1.1,-0.05,,
Bordeaux,2012,200,9,30.0515,0.49115,884.6538461,400,1.1,-0.05,,
Bordeaux,2012,200,10,31.8285,0.48115,1005.844231,400,1.1,-0.05,,
Bordeaux,2012,200,11,32.5245,0.43945,1226.288461,400,1.1,-0.05,,
Bordeaux,2012,200,12,34.1355,0.3748,2455.453846,400,1.1,-0.05,,
Bordeaux,2012,200,13,35.4125,0.33705,2316.282692,400,1.1,-0.05,,
Bordeaux,2012,200,14,36.094,0.33015,2096.557692,400,1.1,-0.05,,
Bordeaux,2012,200,15,35.8725,0.32075,2355.48005,400,1.1,-0.05,,
Bordeaux,2012,200,16,35.471,0.3456,1659.384058,400,1.1,-0.05,,
Bordeaux,2012,200,17,34.442,0.3299,572.8673077,400,1.1,-0.05,,
Bordeaux,2012,200,18,32.63,0.35405,255.2909615,400,1.1,-0.05,,
Bordeaux,2012,200,19,30.178,0.40525,152.5128846,400,1.1,-0.05,,
Bordeaux,2012,200,20,27.395,0.419,66.31307692,400,1.1,-0.05,,
Bordeaux,2012,200,21,25.2845,0.4588,12.155,400,1.1,-0.05,,
Bordeaux,2012,200,22,23.811,0.5202,0,400,1.1,-0.05,,
Bordeaux,2012,200,23,23.0545,0.6485,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,201,0,22.443,0.7441,0.107884615,400,1.1,-0.05,,
Bordeaux,2012,201,1,21.814,0.7828,0,400,1.1,-0.05,,
Bordeaux,2012,201,2,21.4825,0.8123,0,400,1.1,-0.05,,
Bordeaux,2012,201,3,21.592,0.837,0,400,1.1,-0.05,,
Bordeaux,2012,201,4,21.49,0.843,0,400,1.1,-0.05,,
Bordeaux,2012,201,5,21.52,0.856,0,400,1.1,-0.05,,
Bordeaux,2012,201,6,21.5305,0.8615,3.092692308,400,1.1,-0.05,,
Bordeaux,2012,201,7,21.543,0.862,21.72076924,400,1.1,-0.05,,
Bordeaux,2012,201,8,22.1365,0.864,72.49846154,400,1.1,-0.05,,
Bordeaux,2012,201,9,23.605,0.82635,198.7953846,400,1.1,-0.05,,
Bordeaux,2012,201,10,24.875,0.67315,305.3134615,400,1.1,-0.05,,
Bordeaux,2012,201,11,25.865,0.5564,374.7192308,400,1.1,-0.05,,
