id,plant_id,organ_id,order,segment_rank,parent,organ_type,diameter,x,y,z,length,Axis2ID,Axis3ID,Axis4ID,Axis5ID,Axis6ID,Axis7ID,age,coordinates,name,length 
1,1,0,0,0,-1,NA,0,0,0,0,0.1,0,0,0,0,0,0,-1,0 0 0,origin,0
2,1,1,1,1,1,Trunk,6.492537313,3.203991333,0,-11.6298142,0.1,1,0,0,0,0,0,-1,3.20399133286627 0 -11.6298141958222,trunk and arms,0.458879941
3,1,1,1,2,2,Trunk,3.432835821,4.134238142,0,11.55286999,0.1,1,0,0,0,0,0,-1,4.13423814186898 0 11.5528699895013,trunk and arms,0.882578996
4,1,7,4,1,3,Shoot,0.788059701,8.87,0,12.83,0.1,4,0,0,0,0,0,-1,8.87 0 12.83,watershoot,0.069601625
5,1,7,4,2,4,Shoot,0.71641791,11.14,0.466029649,16.69,0.1,4,0,0,0,0,0,-1,11.14 0 16.69,watershoot,0.170184503
6,1,7,4,3,5,Shoot,0.644776119,14.58,0.43648501,20.18,0.1,4,0,0,0,0,0,-1,14.58 0 20.18,watershoot,0.186206441
7,1,7,4,4,6,Shoot,0.573134328,19.82,-0.047966534,29.07,0.1,4,0,0,0,0,0,-1,19.82 0 29.07,watershoot,0.392733469
8,1,7,4,5,7,Shoot,0.501492537,22.08,0.485886189,34.61,0.1,4,0,0,0,0,0,-1,22.08 0 34.61,watershoot,0.227541098
9,1,7,4,6,8,Shoot,0.429850746,25.21,-0.653636687,41.48,0.1,4,0,0,0,0,0,-1,25.21 0 41.48,watershoot,0.286990672
10,1,7,4,7,9,Shoot,0.358208955,28.63,-0.704150202,50.16,0.1,4,0,0,0,0,0,-1,28.63 0 50.16,watershoot,0.355198535
11,1,7,4,8,10,Shoot,0.3,29,-0.690019732,58.25,0.1,4,0,0,0,0,0,-1,29 0 58.25,watershoot,0.308047833
12,1,7,4,9,11,Shoot,0.3,31.39,0.050461651,67.63,0.1,4,0,0,0,0,0,-1,31.39 0 67.63,watershoot,0.368287735
13,1,7,4,10,12,Shoot,0.3,31.72,0.768772184,69.83,0.1,4,0,0,0,0,0,-1,31.72 0 69.83,watershoot,0.084399721
14,1,7,4,11,13,Shoot,0.3,34.35,0.695792614,75.37,0.1,4,0,0,0,0,0,-1,34.35 0 75.37,watershoot,0.233249335
15,1,7,4,12,14,Shoot,0.3,38.36,0.051516267,85.25,0.1,4,0,0,0,0,0,-1,38.36 0 85.25,watershoot,0.405918577
16,1,7,4,13,15,Shoot,0.3,42.13,-0.555097029,92.28,0.1,4,0,0,0,0,0,-1,42.13 0 92.28,watershoot,0.303283849
17,1,7,4,14,16,Shoot,0.3,44.63,0.736175038,97.97,0.1,4,0,0,0,0,0,-1,44.63 0 97.97,watershoot,0.236514731
18,1,7,4,15,17,Shoot,0.3,47.92,0.672342626,104.43,0.1,4,0,0,0,0,0,-1,47.92 0 104.43,watershoot,0.275788288
