station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_potential,soilWater_content,rainfall
15876,2021,1,0,12.8,0.923,0,400,1.2,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,1,11.7,0.93,12.8,400,0,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,2,11.6,0.938,0,400,0.5,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,3,10.6,0.939,0,400,0.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,4,9.3,0.942,0,400,0,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,5,8.8,0.951,0,400,0,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,6,9.9,0.962,178.9,400,0,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,7,12.9,0.953,715.6,400,0,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,8,16.8,0.87,1635.6,400,1.8,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,9,18.2,0.789,2951.7,400,4.1,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,10,18.7,0.745,3833.3,400,4.7,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,11,19.6,0.734,4421.1,400,5.3,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,12,20,0.726,4842.8,400,5.5,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,13,20.7,0.703,4945,400,5.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,14,21,0.703,4702.2,400,6.1,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,15,20.7,0.7,4178.3,400,6.8,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,16,20.7,0.697,3386.1,400,6.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,17,19.7,0.771,1699.4,400,5.9,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,18,18.6,0.833,613.3,400,4.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,19,18.1,0.855,357.8,400,3.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,20,17.6,0.861,63.9,400,1.9,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,21,16.7,0.879,0,400,1.9,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,22,15.8,0.901,0,400,0.9,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,1,23,14.6,0.917,0,400,0.3,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,0,13.9,0.937,0,400,1.7,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,1,13.4,0.944,0,400,1.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,2,13.8,0.947,0,400,1.3,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,3,13.2,0.951,0,400,1.7,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,4,13.7,0.951,0,400,1,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,5,13.4,0.949,0,400,1.1,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,6,13.3,0.952,242.8,400,0.2,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
15876,2021,2,7,14.8,0.945,881.7,400,0.6,"-0.1,-0.1,-0.1,-0.1","0.2,0.25,0.25,0.25",0
