year,day,hour,fPARLow_ratio,fPARMid_ratio,fPARUp_ratio,fabsSoil_ratio,fparSoil_ratio,fabsFarRed_correction
2021,305,1,0,0,0,NA,NA,NA
2021,305,2,0,0,0,NA,NA,NA
2021,305,3,0,0,0,NA,NA,NA
2021,305,4,0,0,0,NA,NA,NA
2021,305,5,0,0,0,NA,NA,NA
2021,305,6,0,0,0,1,1,1.14420768686315
2021,305,7,0.758457216572941,0.843664515022238,0.767591078060805,0.951936098679567,0.973941951028984,1.14726504483292
2021,305,8,0.730456042057373,0.778865406468332,0.763178528465691,1,1,1.14774114147133
2021,305,9,0.773898272154419,0.842071777368601,0.736297325688644,0.987819777685266,1,1.14286278686268
2021,305,10,0.750841291090625,0.822912969844201,0.730921559317641,0.990052973731134,1,1.13805855173276
2021,305,11,0.786164400027145,0.801072485755127,0.724047619617863,0.995455223012816,1,1.13776826492559
2021,305,12,0.774682526084437,0.771983538108009,0.717238037758058,0.997267356391784,1,1.13930156060585
2021,305,13,0.757358630297929,0.741054012950158,0.734711354136247,1,1,1.13538608603961
2021,305,14,0.790063617374003,0.763292553587202,0.7341528585257,0.997941089800327,1,1.13797682118599
2021,305,15,0.765700494319186,0.738419482273007,0.762317433249499,0.998430311226614,1,1.14123458326153
2021,305,16,0.806803942197411,0.759116440441934,0.784412712687498,0.979926589400518,0.991194167595782,1.1421641720766
2021,305,17,0.759736162115463,0.771948324309492,0.764445360183309,0.99345190067475,1,1.14674570750937
2021,305,18,0.75231457600652,0.79121096289004,0.782891415494834,0.97560848718673,0.993035942982131,1.14692014613055
2021,305,19,0.806533801622426,0.77249480238367,0.737930164042847,1,1,1.14468220351344
2021,305,20,0,0,0,1,1,NA
2021,305,21,0,0,0,1,1,NA
2021,305,22,0,0,0,1,1,NA
2021,305,23,0,0,0,1,1,NA
2021,306,0,0,0,0,1,1,NA
2021,306,1,0,0,0,1,1,NA
2021,306,2,0,0,0,1,1,NA
2021,306,3,0,0,0,1,1,NA
2021,306,4,0,0,0,1,1,NA
2021,306,5,0,0,0,1,1,NA
2021,306,6,0,0,0,1,1,1.14685761582838
2021,306,7,0.761685094147584,0.822037644375266,0.762133859413945,0.957433901982459,0.978145118078456,1.15127225023207
2021,306,8,0.727432130913944,0.786762645390883,0.767403702195143,1,1,1.11730655555953
2021,306,9,0.776332947734397,0.830955810303951,0.730168151343083,0.989433835665003,1,1.13275486199455
2021,306,10,0.7583632086338,0.824418224560793,0.734392656079177,0.988795557524635,0.999229361701842,1.13995659327982
2021,306,11,0.78609296729363,0.798953123717522,0.732688622380151,0.994968586549343,1,1.14296811499185
2021,306,12,0.773614282208832,0.775144229603904,0.718350640676488,0.99840712505752,1,1.14037172998549
2021,306,13,0.763128748986616,0.749461672680265,0.717384281106564,1,1,1.14108271010337
2021,306,14,0.788848906231178,0.75617816823166,0.734956851073245,1,1,1.14075905401356
2021,306,15,0.770043804457355,0.735750070632844,0.756080546230997,0.994544077447364,1,1.13996796315956
2021,306,16,0.797234825861079,0.763719026971325,0.755994912869107,0.980871360724053,0.991367833014363,1.13863833538877
2021,306,17,0.775499501434513,0.755510725512214,0.782403009095317,0.989818379045091,1,1.14002739572682
2021,306,18,0.745215151810958,0.788713329845582,0.755744956334549,0.986641375167215,0.997658991090595,1.15544738026318
2021,306,19,0.751086424945383,0.789989809635642,0.74704985358479,0.995420464261005,1,1.14766568931064
2021,306,20,0,0,0,0.995420464261005,1,NA
2021,306,21,0,0,0,0.995420464261005,1,NA
2021,306,22,0,0,0,0.995420464261005,1,NA
