age_d;age_h;psi_x;Cpm;T;H_a;rho
34;1;-2.25658735325303;0.498583808932498;19.6;68.9;159.430664156039
34;2;-2.25657093143791;0.496614984012162;19.4;70;159.167759406707
34;3;-2.24213127267774;0.494876601530999;19.9;66.6;158.904986264163
34;4;-2.26816174439957;0.493241864983393;20;65.7;158.64234610702
34;5;-2.2857230618979;0.491600018128006;19.5;67.7;158.379840311001
34;6;-2.30544040871919;0.490169861578429;19.3;68.8;158.117470248908
34;7;-6.46758725666649;0.470425760546846;19;71.5;157.855237290601
34;8;-6.74199107626125;0.486416407445166;19;74.8;157.593142802964
34;9;-6.93244013891705;0.488533634061176;19;76.4;157.331188149881
34;10;-6.97622966440927;0.490860103351689;18.8;79.2;157.069374692209
34;11;-8.66197018927438;0.49730570546767;19.1;77.8;156.807703787748
34;12;-10.6219185783563;0.50357060714098;19.5;75.2;156.54617679122
34;13;-16.032065756171;0.504279069442453;21;71.1;156.284795054236
34;14;-9.97440478900007;0.501413434103736;21.3;67.8;156.023559925274
34;15;-8.05160919577731;0.498575870774526;18.4;74.3;155.762472749649
34;16;-8.449841626678;0.505683665130474;15.7;78.3;155.501534869491
34;17;-6.45142957816375;0.502049366443425;14.8;81.8;155.240747623714
34;18;-5.89517361177641;0.496726342061255;15.1;84.8;154.980112347994
34;19;-5.80811508985161;0.494596198663507;15.1;87.8;154.719630374742
34;20;-5.31642992673206;0.488699470399957;14.3;92.8;154.459303033075
34;21;-5.32411277937276;0.492732773746113;13.8;92.8;154.199131648798
34;22;-2.39151891599391;0.49269254110878;13.4;93;153.939117544369
34;23;-2.40088374955199;0.491874383855833;13.3;93.2;153.679262038882
34;24;-2.38838421026348;0.491080695234221;13.3;93.4;153.419566448039
35;1;-2.36363934243167;0.4933646669109;13.3;94;153.160032084122
35;2;-2.36363020248754;0.492160050567409;13.3;94.7;152.900660255973
35;3;-2.36362085692264;0.491318781577887;13.5;94.7;152.641452268967
35;4;-2.33516033546848;0.491060996681523;13.5;92.4;152.382409424987
35;5;-2.34961262087561;0.490855419123656;13.5;91.7;152.123533022402
35;6;-2.34960339140753;0.491273664204773;13.2;91.5;151.864824356038
35;7;-5.06770584185294;0.47777254883031;13;90.7;151.606284717161
35;8;-8.84881445063476;0.513543270510535;13.8;85.1;151.347915393448
