id,plant_id,organ_id,organ_type,order,segment_rank,diameter,length,parent,x,y,z,Axis2ID,Axis3ID,Axis4ID,Axis5ID,Axis6ID,Axis7ID,Age
1261,1,6,AnnualShoot_B_V#8,7,8,2.212961133,1.606559302,1260,-1.566746412,7.192546703,234.4404749,2,3,38,2,2,2,48
1262,1,6,AnnualShoot_B_V#9,7,9,2.114674137,1.606559302,1261,0.017729249,7.304442497,234.1997489,2,3,38,2,2,2,47
1263,1,6,AnnualShoot_B_V#10,7,10,2.024978956,1.606559302,1262,1.611580525,7.486222155,234.1124159,2,3,38,2,2,2,46
1264,1,6,AnnualShoot_B_V#11,7,11,1.935306872,1.606559302,1263,3.199685346,7.723514588,234.1638762,2,3,38,2,2,2,45
1265,1,6,AnnualShoot_B_V#12,7,12,1.854580054,1.606559302,1264,4.785786035,7.961271535,234.2576261,2,3,38,2,2,2,43
1266,1,6,AnnualShoot_B_V#13,7,13,1.777889578,1.606559302,1265,6.378455485,8.141346514,234.3672154,2,3,38,2,2,2,42
1267,1,6,AnnualShoot_B_V#14,7,14,1.701356159,1.606559302,1266,7.91912358,8.424728804,234.7236829,2,3,38,2,2,2,41
1268,1,6,AnnualShoot_B_V#15,7,15,1.640101165,1.606559302,1267,9.383122124,8.796821663,235.270755,2,3,38,2,2,2,38
1269,1,6,AnnualShoot_B_V#16,8,16,1.924543346,1.606559302,1264,2.97409234,9.045198529,233.2788383,2,3,38,2,2,2,38
1270,1,6,AnnualShoot_B_V#17,8,17,1.710275224,1.606559302,1269,2.691300052,10.38591915,232.4400716,2,3,38,2,2,2,36
1271,1,6,AnnualShoot_B_V#18,8,18,1.636338327,1.606559302,1270,2.360651771,11.81221009,231.7787104,2,3,38,2,2,2,35
1272,1,6,AnnualShoot_B_V#19,8,19,1.573846386,1.606559302,1271,1.907575563,13.25427837,231.2344735,2,3,38,2,2,2,34
1273,1,6,AnnualShoot_B_V#20,8,20,1.508935124,1.606559302,1272,1.363991263,14.75117207,231.0226761,2,3,38,2,2,2,33
1274,1,6,AnnualShoot_B_V#21,8,21,1.444715587,1.606559302,1273,0.777161389,16.2439009,230.9308931,2,3,38,2,2,2,32
1275,1,6,AnnualShoot_B_V#22,8,22,1.386260865,1.606559302,1274,0.193598879,17.73955547,230.9900962,2,3,38,2,2,2,31
1276,1,6,AnnualShoot_B_V#23,8,23,1.336272797,1.606559302,1275,-0.382110758,19.23272992,231.1315928,2,3,38,2,2,2,30
1277,1,6,AnnualShoot_B_V#24,8,24,1.281820218,1.606559302,1276,-0.843536578,20.74091984,231.4373413,2,3,38,2,2,2,29
1278,1,6,AnnualShoot_B_V#25,8,25,1.230090268,1.606559302,1277,-1.27674139,22.20566456,231.9352261,2,3,38,2,2,2,28
1279,1,6,AnnualShoot_B_V#26,8,26,2.003178865,1.606559302,1263,0.757097024,6.15633195,233.8255661,2,3,38,2,2,2,28
1280,1,6,AnnualShoot_B_V#27,8,27,1.778426007,1.606559302,1279,-0.125930878,4.978297275,233.1825041,2,3,38,2,2,2,26
1281,1,6,AnnualShoot_B_V#28,8,28,1.701865768,1.606559302,1280,-0.895757405,3.959986059,232.2070851,2,3,38,2,2,2,25
