freq AZI,0.111,0.389,0.111,0.389
x (340-20),74.05882353,-28.26470588,1.030149906,0.618147765
x (20-160),61.72093023,-17.02325581,1.04590133,0.552345481
x (160-200),64.60869565,-7.608695652,0.847671376,0.52522757
x (200-340),59.98412698,-19.06349206,1.077806019,0.50892164
S (340-20) (1),97.69887955,-96.1092437,-0.021247181,0.246112514
S (340-20) (2),-96.1092437,763.0630252,-3.120438248,-0.993405212
S (340-20) (3),-0.021247181,-3.120438248,0.062983589,0.002845603
S (340-20) (4),0.246112514,-0.993405212,0.002845603,0.031346711
S (20-160) (1),373.2535991,-395.1256921,-1.966472186,1.130640548
S (20-160) (2),-395.1256921,933.166113,-1.272674276,-2.092410031
S (20-160) (3),-1.966472186,-1.272674276,0.085140298,-0.001671499
S (20-160) (4),1.130640548,-2.092410031,-0.001671499,0.024055934
S (160-200) (1),628.5217391,-623.2035573,0.58036844,1.406212382
S (160-200) (2),-623.2035573,1472.43083,-5.507969409,-0.99537983
S (160-200) (3),0.58036844,-5.507969409,0.069271301,0.010533732
S (160-200) (4),1.406212382,-0.99537983,0.010533732,0.018777885
S (200-340) (1),236.499744,-152.2107015,-1.124916972,-0.143347557
S (200-340) (2),-152.2107015,830.8668715,-5.675213965,-0.780326875
S (200-340) (3),-1.124916972,-5.675213965,0.110922106,0.013499983
S (200-340) (4),-0.143347557,-0.780326875,0.013499983,0.016610036
