targets,plot_label,internode_csv,requested_snapshot_doy,requested_snapshot_hour,selected_timestamp,selected_dayOfYear,selected_hourOfDay,n_internodes,metric,source_variable,conversion,unit,minimum,maximum
FOPS_high_crop_load_internodes,FOPS high crop load: 600 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/internodeArray_697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,65,12,2022-03-06 12:30:00,65,12,11018,waterPotential,waterPotential,none,MPa,-0.814930923077446,-0.5578337534097797
FOPS_high_crop_load_internodes,FOPS high crop load: 600 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/internodeArray_697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,65,12,2022-03-06 12:30:00,65,12,11018,Cp,cpb,"C_sug,o = sqrt(2 * cpb) / (0.75 * fC_sorbitol + 0.25 * fC_sucrose)",g sugar cm⁻³ phloem sap,0.09290974638956186,0.1603369246075709
