uuid,CropLoad,crop_load_label,scenario_role,scenario_role_label,component,trait,trait_label,x,y,z,value,source_variable,file_path
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.15140322308233464,0.17505906039528749,0.2777922131805976,-0.5558628493434047,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.1422111789751521,0.14985624918910426,0.2797711626673575,-0.5558295687718265,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.1338918043091037,0.12496848359355678,0.28568544523146566,-0.5558238966131237,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.1254466147899205,0.10099264621671136,0.294484854647005,-0.5558318532292734,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.07675809869530997,0.25800844987438254,0.37238214484167725,-0.5567351672959309,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.10020952928417376,0.2603584406229829,0.39344906298729465,-0.5569373337721659,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.12006602012954742,0.2629613163080825,0.41790825151616673,-0.5571719336638554,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.13546592014469813,0.2652205754399209,0.4454227190255521,-0.557435732004041,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.24993541407928416,0.3070165699051419,0.24805674397710284,-0.5555730668193836,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
738fcabe-2562-4a37-980e-cb0a0acbb4c1,200,200 fruits,low_crop_load,Low crop load: 200 fruits,internode,waterPotential,A. Xylem water potential,-0.22662663604786612,0.30362062498992615,0.2691393320097658,-0.5557750998066847,waterPotential,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv
