date,reserve_pool,value_mgC_plant,uuid,CropLoad,crop_load_label,simulation_day,days_after_full_bloom,dayOfYear,reserve_pool_label,value_gC_plant,aggregation,unit_conversion
2021-11-25,cordonNSC,720939.3457261419,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,4,37,329,Cordon NSC,720.9393457261419,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-25,trunkNSC,58163.01115758131,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,4,37,329,Trunk NSC,58.163011157581316,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-25,totalNSC,1301189.3476654347,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,4,37,329,Whole-tree NSC reserve,1301.1893476654348,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-11-26,leafNSC,143330.99337757943,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Leaf NSC,143.33099337757943,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,fineRootNSC,94005.60450268372,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Fine-root NSC,94.00560450268372,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,structuralRootNSC,265436.82310735603,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Structural-root NSC,265.436823107356,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,internodeNSC,810110.4879064483,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Total internode NSC reserve,810.1104879064483,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,cordonNSC,721591.8279877141,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Cordon NSC,721.591827987714,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,trunkNSC,58216.76291964507,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Trunk NSC,58.21676291964507,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-26,totalNSC,1312883.9088940674,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,5,38,330,Whole-tree NSC reserve,1312.8839088940674,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-11-27,leafNSC,147932.97192188312,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Leaf NSC,147.9329719218831,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,fineRootNSC,93974.47947308162,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Fine-root NSC,93.97447947308162,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,structuralRootNSC,265133.62798821134,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Structural-root NSC,265.13362798821134,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,internodeNSC,811049.6102885196,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Total internode NSC reserve,811.0496102885196,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,cordonNSC,722414.4272914449,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Cordon NSC,722.4144272914449,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,trunkNSC,58285.008900249915,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Trunk NSC,58.28500890024991,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-27,totalNSC,1318090.6896716957,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,6,39,331,Whole-tree NSC reserve,1318.0906896716956,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-11-28,leafNSC,147284.3558898222,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Leaf NSC,147.28435588982222,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,fineRootNSC,93986.09508757814,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Fine-root NSC,93.98609508757814,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,structuralRootNSC,264943.58808866364,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Structural-root NSC,264.94358808866366,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,internodeNSC,811963.3403234335,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Total internode NSC reserve,811.9633403234335,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,cordonNSC,723217.3172000241,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Cordon NSC,723.2173172000241,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,trunkNSC,58346.676576836006,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Trunk NSC,58.346676576836,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-28,totalNSC,1318177.3793894975,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,7,40,332,Whole-tree NSC reserve,1318.1773793894974,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-11-29,leafNSC,148634.12388598314,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Leaf NSC,148.63412388598314,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,fineRootNSC,94026.29920972866,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Fine-root NSC,94.02629920972866,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,structuralRootNSC,264842.4822233297,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Structural-root NSC,264.84248222332974,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,internodeNSC,812866.911405248,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Total internode NSC reserve,812.866911405248,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,cordonNSC,724014.1879441005,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Cordon NSC,724.0141879441005,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,trunkNSC,58405.649249203576,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Trunk NSC,58.40564924920358,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-29,totalNSC,1320369.8167242894,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,8,41,333,Whole-tree NSC reserve,1320.3698167242894,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-11-30,leafNSC,146256.44985327873,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Leaf NSC,146.25644985327872,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,fineRootNSC,94068.53624016182,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Fine-root NSC,94.06853624016182,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,structuralRootNSC,264730.97011968616,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Structural-root NSC,264.73097011968616,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,internodeNSC,813846.531422669,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Total internode NSC reserve,813.8465314226689,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,cordonNSC,724879.9662489201,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Cordon NSC,724.87996624892,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,trunkNSC,58467.720573433435,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Trunk NSC,58.46772057343343,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-11-30,totalNSC,1318902.4876357957,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,9,42,334,Whole-tree NSC reserve,1318.9024876357958,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-01,leafNSC,137212.26487588914,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Leaf NSC,137.21226487588913,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,fineRootNSC,94137.1843286323,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Fine-root NSC,94.1371843286323,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,structuralRootNSC,264715.0238925416,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Structural-root NSC,264.7150238925416,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,internodeNSC,814623.2180277793,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Total internode NSC reserve,814.6232180277792,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,cordonNSC,725567.7957631291,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Cordon NSC,725.5677957631291,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,trunkNSC,58511.554967377946,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Trunk NSC,58.51155496737795,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-01,totalNSC,1310687.6911248423,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,10,43,335,Whole-tree NSC reserve,1310.6876911248423,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-02,leafNSC,139127.8696288105,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Leaf NSC,139.1278696288105,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-02,fineRootNSC,94195.1034372795,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Fine-root NSC,94.1951034372795,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-02,structuralRootNSC,264697.32983897056,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Structural-root NSC,264.6973298389706,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-02,internodeNSC,815332.1422162175,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Total internode NSC reserve,815.3321422162174,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-02,cordonNSC,726196.1486638284,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Cordon NSC,726.1961486638284,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-02,trunkNSC,58552.78310941931,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,11,44,336,Trunk NSC,58.55278310941931,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
