uuid,scenario_folder,CropLoad,scenario_label,plant_file,mean_fruit_file,fruit_array_file,internode_array_file,leaf_array_file,root_file,status,options_uuid,options_file,options_basename,plant_uuid,plant_basename,M:fruitTargetsGrid_T2,M:fruitTargetPerTree_T2,M:desiredFruitNumber_postPrune,scenario_uuid,scenario_id,scenario_dir,crop_load_label
9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73,0,0 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73/plant-level-9ca2bf8b_c639_48c1_a98f_bbc84bb43b73.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73/mean-fruit-9ca2bf8b_c639_48c1_a98f_bbc84bb43b73.csv,NA,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73/internodeArray_9ca2bf8b_c639_48c1_a98f_bbc84bb43b73.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73/leafArray_9ca2bf8b_c639_48c1_a98f_bbc84bb43b73.csv,NA,matched,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,model.options.-9ca2bf8b-c639-48c1-a98f-bbc84bb43b73.json,model.options.-9ca2bf8b-c639-48c1-a98f-bbc84bb43b73.json,BASE,plant.parameters.RG-empirical.json,"0, 0, 0, 0, 0, 0, 0, 0, 0",0,0,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,S01,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/9ca2bf8b_c639_48c1_a98f_bbc84bb43b73,0 fruits
738fcabe-2562-4a37-980e-cb0a0acbb4c1,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1,200,200 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/plant-level-738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/mean-fruit-738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/fruitArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/internodeArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1/leafArray_738fcabe_2562_4a37_980e_cb0a0acbb4c1.csv,NA,matched,738fcabe-2562-4a37-980e-cb0a0acbb4c1,model.options.-738fcabe-2562-4a37-980e-cb0a0acbb4c1.json,model.options.-738fcabe-2562-4a37-980e-cb0a0acbb4c1.json,BASE,plant.parameters.RG-empirical.json,"20, 22, 20, 22, 31, 22, 21, 22, 20",200,200,738fcabe-2562-4a37-980e-cb0a0acbb4c1,S02,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/738fcabe_2562_4a37_980e_cb0a0acbb4c1,200 fruits
c87e1aee-277e-4fd5-b44b-8a7047a1e405,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405,400,400 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405/plant-level-c87e1aee_277e_4fd5_b44b_8a7047a1e405.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405/mean-fruit-c87e1aee_277e_4fd5_b44b_8a7047a1e405.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405/fruitArray_c87e1aee_277e_4fd5_b44b_8a7047a1e405.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405/internodeArray_c87e1aee_277e_4fd5_b44b_8a7047a1e405.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405/leafArray_c87e1aee_277e_4fd5_b44b_8a7047a1e405.csv,NA,matched,c87e1aee-277e-4fd5-b44b-8a7047a1e405,model.options.-c87e1aee-277e-4fd5-b44b-8a7047a1e405.json,model.options.-c87e1aee-277e-4fd5-b44b-8a7047a1e405.json,BASE,plant.parameters.RG-empirical.json,"40, 45, 40, 45, 62, 44, 40, 44, 40",400,400,c87e1aee-277e-4fd5-b44b-8a7047a1e405,S03,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/c87e1aee_277e_4fd5_b44b_8a7047a1e405,400 fruits
697271f9-f862-464c-9f8c-cf8d3f6f3d60,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60,600,600 fruits,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/plant-level-697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/mean-fruit-697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/fruitArray_697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/internodeArray_697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60/leafArray_697271f9_f862_464c_9f8c_cf8d3f6f3d60.csv,NA,matched,697271f9-f862-464c-9f8c-cf8d3f6f3d60,model.options.-697271f9-f862-464c-9f8c-cf8d3f6f3d60.json,model.options.-697271f9-f862-464c-9f8c-cf8d3f6f3d60.json,BASE,plant.parameters.RG-empirical.json,"60, 67, 60, 67, 94, 66, 60, 66, 60",600,600,697271f9-f862-464c-9f8c-cf8d3f6f3d60,S04,/home/jzhu/Workspace/Github/2-Functional-structural-fruit-crop-model-evaluation/0_Model_output/FOPS_CropLoad/697271f9_f862_464c_9f8c_cf8d3f6f3d60,600 fruits
