uuid,biomassPlant,biomassFruit,biomassInternode,internodeNSC,fraction_fruitUnloading,fraction_structuralRootUnloading,fraction_internodeUnloading,phloemSugarConcentration,harvest_index,meanFruitDW,Ta,cca,totalFruitNumber,incomingRadiation,leafArea,Tmax,Tmin
00739ec2-5aac-4047-9b8c-8caf0d3ba1b5,141.15436353267415,85.85920789090247,415.01124589778345,186.19073104543637,0.29871368077167504,0.03692389114011995,0.46808649844006733,0.019460733010182828,0.3871433446318646,85.85920676886427,25.011565351010102,1200.0,400.0,407.27588383838383,0.3837245557808073,,
007caab8-346c-442d-a17d-0ee97cd578f4,67.53964933981223,57.3273054957072,97.89107876764568,5.4518174180940004,0.19198472029587543,0.010271330682912458,0.48198390507817757,0.015166984642201703,0.2599654689778861,57.32730486464577,22.517348022727273,900.0,70.0,407.27588383838383,0.10036192065991252,30.0,15.0
0093c160-ab63-4c46-b0a7-7564543a9e7e,222.79133506839148,103.01474140463682,881.7751966822935,468.33741258010207,0.101075507611774,0.015688267463846804,0.6333379250439183,0.021410100383423385,0.12003099121606142,103.0147420818859,22.517348022727273,650.0,240.0,678.7931397306396,1.3586033074955537,30.0,15.0
00a70f8c-639a-4808-97c3-c6d89362c973,116.79753866134494,62.07327245701254,259.11952611817173,95.41197742722586,0.23808230047122267,0.004807342954861111,0.4906241748994635,0.01778376458943902,0.21469850984060104,62.0732769097492,22.517348022727273,400.0,110.0,271.51725589225595,0.2509799004147781,30.0,15.0
00a8760e-696a-42d2-9f52-9d005f776950,193.35162883582976,105.34585888387961,675.0888513836837,337.31149575593633,0.16398438977314816,0.02349825297982954,0.6302575354744846,0.020683023224553187,0.22358552071886073,105.34585791935129,20.0115655155724,900.0,320.0,814.5517676767677,0.8028953652793002,,
00d491ae-5d5f-4945-871c-81deec98ff49,71.68208342870041,58.234449382248,107.04011588838365,11.586589925991934,0.2391509477465278,0.010025963392308502,0.4693353070450336,0.01570170829152301,0.3069811850098509,58.234451428182,22.517348022727273,400.0,90.0,814.5517676767677,0.10036192065991252,30.0,15.0
00e434a3-81f0-4b02-9f29-fe20d2880bdf,75.14625612458336,59.22637921408311,110.35939224398984,12.85479356603743,0.12208463690940656,0.011072318241256311,0.5131614258901513,0.015413850105567494,0.19578202327311453,59.22637968025135,22.505782674242425,650.0,50.0,678.7931397306396,0.10036192065991252,25.0,20.0
0122a94f-d855-431b-a285-e3fdab982333,163.14873778338864,57.708961759968666,543.6604606939482,263.60821946588334,0.1892000406270623,0.020619061050852275,0.5064452152813027,0.016256482034282278,0.11725366310221165,57.70896065029121,25.011565351010102,900.0,160.0,271.51725589225595,0.8028953652793002,30.0,20.0
012bf310-337a-4d96-9db5-fdc8c1c60f77,246.9326851061564,104.49024904866104,1189.180675858837,668.8022058607053,0.0985601440914457,0.011148949431723487,0.6651893330453598,0.020629786295851618,0.1302955892833392,104.49025041566418,22.505782674242425,1200.0,400.0,678.7931397306396,2.0078392033182246,,
013bf894-f70e-49c2-af67-64b54702a18c,202.7473420033902,88.01425850143622,655.6077835481126,326.02648981193806,0.11277177499175085,0.024097279432617844,0.6348356776456228,0.01990095014924653,0.11897137002890838,88.01425974711631,20.0115655155724,650.0,160.0,678.7931397306396,0.8028953652793002,25.0,15.0
0154e752-0db7-46b0-956a-c07c4eb17577,212.19846806130658,89.41718694453672,938.8771229118166,507.98548163621626,0.053585741773705814,0.011635036170065236,0.6695299984627526,0.0184917127143818,0.06248840821965473,89.41718677201055,22.517348022727273,400.0,160.0,678.7931397306396,2.0078392033182246,30.0,15.0
01550f82-5e19-42f7-b5d2-354aa7f11f4a,98.14351818914592,64.65317207460501,182.51196687199268,52.42189516997491,0.1867831250089436,0.006776062083922559,0.48539547411037465,0.018158684060836837,0.23462183794326752,64.65317139057058,25.011565351010102,900.0,90.0,407.27588383838383,0.16982541343694404,30.0,20.0
01a065a4-0a73-4ecb-9a2a-359cbf43435d,189.11537977817775,76.6824568761935,885.8277846140517,459.34463852401313,0.0745793875374579,0.012133557459638048,0.709506065071412,0.016751542800861427,0.09037064755591816,76.68245735119987,20.0115655155724,650.0,240.0,407.27588383838383,2.0078392033182246,25.0,15.0
